code,name,price,rise,change,exchange,amount
600000,浦发银行,13.46,0.15,0.02,7.59亿,4074.03亿
600004,白云机场,9.33,0.43,0.04,8528.51万,220.81亿
600006,东风股份,7.33,0.14,0.01,2.30亿,146.60亿
600007,中国国贸,20.79,-0.29,-0.06,3969.74万,209.41亿
600008,首创环保,3.09,0.33,0.01,1.88亿,226.82亿
600009,上海机场,32.14,0.97,0.31,2.85亿,616.67亿
600010,包钢股份,2.14,6.47,0.13,45.92亿,671.55亿
600011,华能国际,7.03,1.30,0.09,3.46亿,773.14亿
600012,皖通高速,17.15,0.76,0.13,4713.05万,199.90亿
600015,华夏银行,8.33,0.36,0.03,2.85亿,1281.76亿
600016,民生银行,5.44,0.56,0.03,16.16亿,1929.14亿
600017,日照港,3.21,0.31,0.01,6991.78万,98.73亿
600018,上港集团,5.63,0.72,0.04,2.17亿,1306.98亿
600019,宝钢股份,7.10,0.85,0.06,3.82亿,1546.53亿
600020,中原高速,4.81,0.84,0.04,4483.48万,108.10亿
600021,上海电力,9.10,0.33,0.03,3.18亿,238.16亿
600022,山东钢铁,1.44,0.00,0.00,8774.25万,154.06亿
600023,浙能电力,5.14,0.59,0.03,2.69亿,689.21亿
600025,华能水电,9.41,0.64,0.06,2.16亿,1693.80亿
600026,中远海能,10.06,0.00,0.00,1.87亿,349.56亿
600027,华电国际,5.38,0.00,0.00,3.28亿,457.86亿
600028,中国石化,5.82,1.57,0.09,8.53亿,5519.79亿
600029,南方航空,5.70,0.18,0.01,1.62亿,722.38亿
600030,中信证券,28.34,0.32,0.09,18.87亿,3450.83亿
600031,三一重工,19.01,0.90,0.17,7.88亿,1610.98亿
600032,浙江新能,7.72,0.00,0.00,5485.23万,185.64亿
600033,福建高速,3.50,0.29,0.01,6309.03万,96.05亿
600035,楚天高速,4.36,0.46,0.02,3554.69万,70.20亿
600036,招商银行,45.05,0.11,0.05,24.45亿,9293.34亿
600037,歌华有线,7.84,0.26,0.02,1.14亿,109.12亿
600038,中直股份,39.44,0.64,0.25,3.58亿,263.83亿
600039,四川路桥,8.53,-0.93,-0.08,1.60亿,572.84亿
600048,保利发展,8.02,0.38,0.03,5.98亿,960.03亿
600050,中国联通,5.45,1.30,0.07,23.85亿,1676.79亿
600051,宁波联合,7.62,-0.65,-0.05,5133.60万,23.69亿
600052,东望时代,4.44,-2.20,-0.10,8596.29万,37.48亿
600053,九鼎投资,15.48,-1.21,-0.19,1.25亿,67.11亿
600054,黄山旅游,11.67,0.34,0.04,5874.29万,59.90亿
600055,万东医疗,17.73,0.97,0.17,9711.15万,124.65亿
600056,中国医药,10.68,-0.09,-0.01,7859.30万,159.70亿
600057,厦门象屿,7.52,-0.13,-0.01,9411.18万,164.88亿
600058,五矿发展,8.16,2.00,0.16,1.50亿,87.47亿
600059,古越龙山,10.51,-1.13,-0.12,9066.92万,95.80亿
600060,海信视像,23.19,-1.86,-0.44,3.02亿,300.33亿
600061,国投资本,7.68,0.52,0.04,2.39亿,491.06亿
600062,华润双鹤,19.41,1.09,0.21,1.97亿,200.43亿
600063,皖维高新,4.78,0.84,0.04,1.05亿,92.06亿
600064,南京高科,8.05,0.50,0.04,1.12亿,139.29亿
600066,宇通客车,25.72,-0.31,-0.08,2.42亿,569.43亿
600067,冠城新材,3.02,0.67,0.02,4138.43万,42.03亿
600071,凤凰光学,21.71,1.02,0.22,8841.37万,61.13亿
600072,中船科技,12.65,0.56,0.07,1.80亿,137.04亿
600073,光明肉业,7.43,0.00,0.00,1.58亿,69.67亿
600075,新疆天业,4.36,1.16,0.05,5832.05万,74.44亿
600076,康欣新材,2.39,0.00,0.00,2629.34万,32.13亿
600078,澄星股份,6.15,3.02,0.18,1.40亿,40.75亿
600079,人福医药,22.15,0.18,0.04,3.33亿,341.81亿
600080,金花股份,7.41,-1.33,-0.10,8081.86万,27.66亿
600081,东风科技,13.24,-0.60,-0.08,9201.55万,73.22亿
600082,海泰发展,4.02,-1.47,-0.06,6278.89万,25.50亿
600084,中信尼雅,5.68,0.35,0.02,2293.69万,63.83亿
600085,同仁堂,36.00,0.56,0.20,3.09亿,493.73亿
600088,中视传媒,16.18,0.25,0.04,4447.01万,64.35亿
600089,特变电工,12.30,0.33,0.04,4.41亿,621.49亿
600094,大名城,3.22,0.00,0.00,3197.49万,69.75亿
600095,湘财股份,10.93,-0.09,-0.01,6.54亿,312.51亿
600096,云天化,23.08,2.44,0.55,7.52亿,420.75亿
600097,开创国际,11.01,1.20,0.13,1.31亿,26.53亿
600098,广州发展,6.55,0.31,0.02,6283.16万,229.17亿
600099,林海股份,11.42,1.69,0.19,5119.41万,25.02亿
600100,同方股份,7.27,0.28,0.02,3.03亿,243.57亿
600101,明星电力,10.90,0.65,0.07,4.57亿,59.72亿
600103,青山纸业,2.27,0.00,0.00,5923.68万,50.22亿
600104,上汽集团,17.86,-0.34,-0.06,7.08亿,2067.35亿
600105,永鼎股份,8.95,-0.89,-0.08,8.86亿,130.85亿
600106,重庆路桥,6.11,-0.49,-0.03,8130.37万,81.20亿
600108,XD亚盛集,2.98,0.68,0.02,4919.49万,58.02亿
600109,国金证券,9.34,-0.11,-0.01,4.55亿,346.75亿
600110,诺德股份,5.77,1.94,0.11,14.36亿,100.12亿
600111,北方稀土,32.96,9.87,2.96,147.04亿,1191.53亿
600113,浙江东日,28.71,0.63,0.18,1.85亿,118.12亿
600114,东睦股份,20.55,-1.96,-0.41,2.99亿,126.67亿
600115,中国东航,3.82,0.00,0.00,1.42亿,653.77亿
600116,三峡水利,6.84,0.44,0.03,5862.10万,130.79亿
600117,西宁特钢,2.35,1.73,0.04,4837.74万,76.50亿
600118,中国卫星,28.04,0.79,0.22,4.30亿,331.57亿
600119,长江投资,8.73,0.81,0.07,8636.17万,31.89亿
600120,浙江东方,6.28,0.00,0.00,5.48亿,214.49亿
600121,郑州煤电,4.13,-0.48,-0.02,2.27亿,50.32亿
600123,兰花科创,6.55,0.93,0.06,1.18亿,96.50亿
600125,XD铁龙物,5.71,0.71,0.04,7432.73万,74.55亿
600126,杭钢股份,9.15,-0.76,-0.07,8.18亿,309.01亿
600127,金健米业,6.95,0.43,0.03,1.19亿,44.60亿
600128,苏豪弘业,11.00,-0.90,-0.10,1.48亿,27.14亿
600129,太极集团,21.93,-0.27,-0.06,2.20亿,122.13亿
600131,国网信通,18.18,1.45,0.26,2.50亿,217.42亿
600132,重庆啤酒,55.35,0.40,0.22,2.01亿,267.88亿
600133,东湖高新,9.24,-0.11,-0.01,1.26亿,98.52亿
600135,乐凯胶片,7.80,0.00,0.00,3990.85万,43.16亿
600137,浪莎股份,18.53,1.15,0.21,3131.88万,18.01亿
600138,中青旅,9.86,0.51,0.05,1.03亿,71.37亿
600141,兴发集团,23.77,3.57,0.82,7.42亿,262.24亿
600143,金发科技,10.92,-0.64,-0.07,4.19亿,283.62亿
600148,长春一东,21.68,1.12,0.24,2.07亿,30.68亿
600149,廊坊发展,5.69,0.89,0.05,1.07亿,21.63亿
600150,中国船舶,34.08,0.62,0.21,13.90亿,1524.20亿
600151,航天机电,7.32,1.39,0.10,1.82亿,104.99亿
600152,维科技术,6.74,1.20,0.08,3.20亿,35.66亿
600153,建发股份,10.33,-0.48,-0.05,2.10亿,299.52亿
600155,华创云信,7.27,-1.36,-0.10,2.97亿,160.92亿
600156,华升股份,6.71,-1.61,-0.11,7086.91万,26.98亿
600157,永泰能源,1.40,0.72,0.01,4.95亿,305.45亿
600158,中体产业,8.37,1.09,0.09,1.41亿,80.31亿
600159,大龙地产,2.84,0.00,0.00,3143.85万,23.57亿
600160,巨化股份,26.92,-0.11,-0.03,9.16亿,726.77亿
600161,天坛生物,19.89,0.81,0.16,2.72亿,393.30亿
600162,XD香江控,1.67,-1.18,-0.02,2433.67万,54.58亿
600163,中闽能源,5.31,0.95,0.05,6029.63万,101.05亿
600166,福田汽车,2.79,-1.41,-0.04,2.34亿,181.04亿
600167,联美控股,6.04,0.17,0.01,2701.83万,136.68亿
600168,武汉控股,4.75,-0.21,-0.01,2157.22万,47.19亿
600169,太原重工,2.49,0.40,0.01,6541.93万,83.00亿
600170,上海建工,2.43,0.41,0.01,1.74亿,215.93亿
600171,上海贝岭,34.05,-0.53,-0.18,6.49亿,241.39亿
600172,黄河旋风,4.22,-0.47,-0.02,6478.22万,53.86亿
600173,卧龙新能,6.60,2.33,0.15,2.44亿,46.23亿
600176,中国巨石,12.57,-1.49,-0.19,4.27亿,503.19亿
600177,雅戈尔,7.45,0.27,0.02,8861.59万,344.45亿
600178,东安动力,14.07,-0.07,-0.01,4.22亿,65.63亿
600179,安通控股,3.05,0.66,0.02,1.23亿,114.20亿
600180,瑞茂通,4.53,0.00,0.00,5424.06万,49.22亿
600182,S佳通,16.70,-0.36,-0.06,3668.39万,28.39亿
600183,生益科技,36.50,-2.56,-0.96,14.90亿,873.99亿
600184,光电股份,17.07,0.23,0.04,4.23亿,86.85亿
600185,珠免集团,5.80,-0.17,-0.01,8616.70万,109.33亿
600186,莲花控股,6.27,0.48,0.03,4.23亿,112.03亿
600187,国中水务,3.13,0.00,0.00,6516.20万,50.51亿
600188,兖矿能源,12.35,0.82,0.10,3.07亿,731.60亿
600189,泉阳泉,7.51,0.13,0.01,6305.16万,53.71亿
600191,华资实业,7.78,0.00,0.00,6438.57万,37.73亿
600192,长城电工,9.36,-1.37,-0.13,2.42亿,41.35亿
600195,中牧股份,7.89,-3.90,-0.32,2.98亿,80.57亿
