code,name,price,rise,change,exchange,amount
600000,浦发银行,13.08,0.08,0.01,10.02亿,3959.01亿
600004,白云机场,9.50,-0.94,-0.09,1.49亿,224.84亿
600006,东风股份,7.38,-0.54,-0.04,2.02亿,147.60亿
600007,中国国贸,20.87,-0.57,-0.12,4880.26万,210.22亿
600008,首创环保,3.13,-0.64,-0.02,2.41亿,229.76亿
600009,上海机场,32.73,-0.09,-0.03,3.12亿,627.99亿
600010,包钢股份,2.52,2.02,0.05,53.46亿,790.80亿
600011,华能国际,7.06,0.43,0.03,4.58亿,776.44亿
600012,皖通高速,16.82,-1.75,-0.30,9335.58万,196.05亿
600015,华夏银行,8.13,0.49,0.04,3.28亿,1250.98亿
600016,民生银行,5.04,-0.20,-0.01,13.93亿,1787.29亿
600017,日照港,3.28,-1.50,-0.05,1.11亿,100.88亿
600018,上港集团,5.70,-0.35,-0.02,2.05亿,1323.23亿
600019,宝钢股份,7.28,-2.15,-0.16,7.52亿,1585.74亿
600020,中原高速,4.72,-0.42,-0.02,5703.32万,106.08亿
600021,上海电力,9.42,0.64,0.06,3.94亿,265.34亿
600022,山东钢铁,1.53,-1.29,-0.02,1.74亿,163.69亿
600023,浙能电力,5.22,-0.57,-0.03,2.35亿,699.94亿
600025,华能水电,9.27,-1.07,-0.10,3.05亿,1668.60亿
600026,中远海能,10.18,-1.93,-0.20,4.18亿,353.73亿
600027,华电国际,5.32,0.00,0.00,2.52亿,452.75亿
600028,中国石化,5.88,-1.34,-0.08,8.27亿,5576.70亿
600029,南方航空,5.79,-1.20,-0.07,3.45亿,733.79亿
600030,中信证券,29.96,0.88,0.26,37.80亿,3648.09亿
600031,三一重工,19.97,0.20,0.04,17.65亿,1692.34亿
600032,浙江新能,7.71,-0.77,-0.06,8061.19万,185.40亿
600033,福建高速,3.52,-1.12,-0.04,1.15亿,96.60亿
600035,楚天高速,4.37,-0.68,-0.03,5993.82万,70.36亿
600036,招商银行,44.44,-0.87,-0.39,28.39亿,9167.50亿
600037,歌华有线,8.49,-2.30,-0.20,2.82亿,118.16亿
600038,中直股份,39.48,0.13,0.05,3.13亿,264.10亿
600039,四川路桥,8.38,-2.22,-0.19,4.53亿,562.76亿
600048,保利发展,8.49,1.31,0.11,16.01亿,1016.29亿
600050,中国联通,5.43,-0.73,-0.04,17.70亿,1670.64亿
600051,宁波联合,7.73,0.26,0.02,3337.75万,24.03亿
600052,东望时代,4.36,-1.13,-0.05,5024.38万,36.81亿
600053,九鼎投资,16.29,0.81,0.13,1.44亿,70.62亿
600054,黄山旅游,11.79,0.17,0.02,8858.93万,60.52亿
600055,万东医疗,17.77,-1.00,-0.18,9913.01万,124.93亿
600056,中国医药,10.87,0.18,0.02,1.41亿,162.54亿
600057,厦门象屿,7.40,-1.86,-0.14,8788.91万,162.25亿
600058,五矿发展,8.34,-0.60,-0.05,8138.00万,89.40亿
600059,古越龙山,10.19,-0.39,-0.04,1.21亿,92.89亿
600060,海信视像,23.68,-1.13,-0.27,2.43亿,306.68亿
600061,国投资本,7.84,0.26,0.02,3.20亿,501.29亿
600062,华润双鹤,19.53,0.20,0.04,1.86亿,201.67亿
600063,皖维高新,5.18,-0.39,-0.02,1.99亿,99.76亿
600064,南京高科,7.81,-0.26,-0.02,1.40亿,135.14亿
600066,宇通客车,25.54,0.20,0.05,2.92亿,565.44亿
600067,冠城新材,3.09,0.65,0.02,4803.49万,43.00亿
600071,凤凰光学,21.61,-0.18,-0.04,8929.62万,60.85亿
600072,中船科技,12.79,-0.39,-0.05,1.75亿,138.56亿
600073,光明肉业,7.58,1.20,0.09,1.77亿,71.08亿
600075,新疆天业,4.58,-0.43,-0.02,8932.47万,78.20亿
600076,康欣新材,2.41,-0.82,-0.02,4249.49万,32.40亿
600078,澄星股份,6.43,-0.62,-0.04,5510.07万,42.60亿
600079,人福医药,22.07,0.55,0.12,3.45亿,340.58亿
600080,金花股份,7.59,-0.66,-0.05,3633.50万,28.33亿
600081,东风科技,13.22,-0.82,-0.11,1.01亿,73.11亿
600082,海泰发展,4.04,-0.49,-0.02,4272.34万,25.63亿
600084,中信尼雅,5.76,-0.17,-0.01,2223.86万,64.73亿
600085,同仁堂,36.13,-0.39,-0.14,3.02亿,495.51亿
600088,中视传媒,16.73,0.72,0.12,8253.66万,66.54亿
600089,特变电工,13.84,-1.35,-0.19,16.55亿,699.31亿
600094,大名城,3.25,-0.61,-0.02,7212.20万,70.40亿
600095,湘财股份,11.36,0.71,0.08,8.13亿,324.80亿
600096,云天化,24.70,-0.20,-0.05,5.51亿,450.28亿
600097,开创国际,10.91,-0.91,-0.10,4667.64万,26.29亿
600098,广州发展,6.50,-0.76,-0.05,8612.25万,227.42亿
600099,林海股份,11.37,0.35,0.04,4423.79万,24.91亿
600100,同方股份,7.56,-2.20,-0.17,6.62亿,253.28亿
600101,明星电力,10.42,0.00,0.00,1.51亿,57.09亿
600103,青山纸业,2.34,0.43,0.01,1.50亿,51.77亿
600104,上汽集团,17.59,0.69,0.12,9.99亿,2036.10亿
600105,永鼎股份,9.47,-1.15,-0.11,13.99亿,138.45亿
600106,重庆路桥,6.20,-0.32,-0.02,1.02亿,82.40亿
600108,亚盛集团,3.05,-0.33,-0.01,9320.24万,59.38亿
600109,国金证券,9.58,0.21,0.02,5.67亿,355.66亿
600110,诺德股份,5.95,5.87,0.33,14.83亿,103.24亿
600111,北方稀土,40.06,4.73,1.81,131.48亿,1448.20亿
600113,浙江东日,29.19,-5.84,-1.81,3.54亿,120.10亿
600114,东睦股份,23.56,1.20,0.28,9.75亿,145.22亿
600115,中国东航,3.91,-0.51,-0.02,3.23亿,669.18亿
600116,三峡水利,6.93,0.00,0.00,7748.19万,132.51亿
600117,西宁特钢,3.47,-8.68,-0.33,13.73亿,112.95亿
600118,中国卫星,28.89,1.55,0.44,6.94亿,341.62亿
600119,长江投资,8.49,-0.59,-0.05,4096.45万,31.01亿
600120,浙江东方,6.27,0.64,0.04,5.16亿,214.14亿
600121,郑州煤电,4.26,-6.37,-0.29,4.95亿,51.90亿
600123,兰花科创,6.85,-3.11,-0.22,2.06亿,100.92亿
600125,铁龙物流,5.82,-1.19,-0.07,7683.75万,75.98亿
600126,杭钢股份,9.11,-1.83,-0.17,8.66亿,307.66亿
600127,金健米业,6.99,-0.71,-0.05,2.10亿,44.86亿
600128,苏豪弘业,10.73,-0.92,-0.10,9124.25万,26.48亿
600129,太极集团,23.39,3.04,0.69,6.48亿,130.26亿
600131,国网信通,18.19,-0.60,-0.11,1.87亿,217.54亿
600132,重庆啤酒,56.51,0.00,0.00,2.43亿,273.49亿
600133,东湖高新,9.23,-0.11,-0.01,1.01亿,98.41亿
600135,乐凯胶片,7.89,0.90,0.07,5586.59万,43.66亿
600137,浪莎股份,21.35,-0.93,-0.20,2.31亿,20.76亿
600138,中青旅,10.00,-0.50,-0.05,1.40亿,72.38亿
600141,兴发集团,25.62,1.67,0.42,5.37亿,282.65亿
600143,金发科技,13.55,6.61,0.84,28.98亿,351.92亿
600148,长春一东,22.85,4.05,0.89,2.35亿,32.34亿
600149,廊坊发展,5.57,0.18,0.01,4679.92万,21.17亿
600150,中国船舶,34.90,-0.66,-0.23,16.98亿,1560.88亿
600151,航天机电,7.40,0.00,0.00,1.16亿,106.13亿
600152,维科技术,6.68,0.91,0.06,1.26亿,35.34亿
600153,建发股份,10.48,-1.23,-0.13,1.67亿,303.87亿
600155,华创云信,7.52,-0.27,-0.02,2.76亿,166.46亿
600156,华升股份,6.77,-0.59,-0.04,7862.37万,27.22亿
600157,永泰能源,1.46,-3.31,-0.05,11.18亿,318.54亿
600158,中体产业,8.92,1.48,0.13,3.15亿,85.59亿
600159,大龙地产,2.90,0.69,0.02,2909.82万,24.07亿
600160,巨化股份,26.61,-1.15,-0.31,5.84亿,718.40亿
600161,天坛生物,20.07,-0.74,-0.15,3.53亿,396.86亿
600162,香江控股,1.74,-0.57,-0.01,4515.28万,56.87亿
600163,中闽能源,5.32,-1.11,-0.06,5870.62万,101.24亿
600166,福田汽车,2.79,-0.71,-0.02,2.41亿,181.04亿
600167,联美控股,6.07,-0.17,-0.01,3118.67万,137.35亿
600168,武汉控股,4.85,-0.21,-0.01,3019.65万,48.18亿
600169,太原重工,2.43,-7.61,-0.20,4.52亿,81.00亿
600170,上海建工,2.51,0.40,0.01,2.95亿,223.04亿
600171,上海贝岭,34.66,-0.83,-0.29,7.85亿,245.71亿
600172,黄河旋风,4.38,-1.35,-0.06,1.59亿,55.90亿
600173,卧龙新能,6.51,0.00,0.00,7534.66万,45.60亿
600176,中国巨石,12.87,0.31,0.04,3.94亿,515.20亿
600177,雅戈尔,7.48,-1.45,-0.11,1.58亿,345.83亿
600178,东安动力,15.41,2.46,0.37,8.56亿,71.88亿
600179,安通控股,3.15,0.00,0.00,1.67亿,117.94亿
600180,瑞茂通,4.69,0.43,0.02,7368.17万,50.96亿
600182,S佳通,16.37,-0.49,-0.08,4192.93万,27.83亿
600183,生益科技,41.29,8.52,3.24,17.16亿,988.69亿
600184,光电股份,20.54,10.02,1.87,9.99亿,104.50亿
600185,珠免集团,5.93,-1.17,-0.07,1.17亿,111.78亿
600186,莲花控股,6.10,-0.49,-0.03,2.04亿,108.99亿
600187,国中水务,3.14,0.00,0.00,7341.11万,50.67亿
600188,兖矿能源,12.93,-2.85,-0.38,6.02亿,765.96亿
600189,泉阳泉,7.48,-0.93,-0.07,6791.30万,53.50亿
600191,华资实业,7.79,0.39,0.03,3527.63万,37.78亿
600192,长城电工,10.29,10.05,0.94,4.09亿,45.46亿
600195,中牧股份,7.89,0.13,0.01,8459.45万,80.57亿
600196,复星医药,26.91,0.94,0.25,7.93亿,570.09亿
600197,伊力特,14.89,-0.40,-0.06,6828.31万,70.46亿
600198,大唐电信,8.60,-0.35,-0.03,1.78亿,111.97亿
600199,金种子酒,10.79,0.09,0.01,1.57亿,70.98亿
600201,生物股份,8.94,1.94,0.17,7.77亿,100.16亿
600202,哈空调,5.80,0.35,0.02,4429.99万,22.23亿
600203,福日电子,10.96,8.73,0.88,17.15亿,64.99亿
600206,有研新材,19.84,-0.25,-0.05,7.71亿,167.96亿
600207,安彩高科,4.90,-0.20,-0.01,1.15亿,53.38亿
600208,衢州发展,4.11,5.66,0.22,9.73亿,349.68亿
600210,紫江企业,6.51,-0.46,-0.03,1.22亿,98.74亿
600211,西藏药业,39.98,0.20,0.08,2.05亿,128.86亿
600212,绿能慧充,9.13,0.66,0.06,2.87亿,47.00亿
600215,派斯林,7.56,0.00,0.00,4388.30万,34.54亿
600216,浙江医药,15.25,0.46,0.07,3.79亿,146.65亿
600217,中再资环,4.51,-0.66,-0.03,7414.50万,74.76亿
600218,全柴动力,9.20,-0.43,-0.04,6028.89万,40.08亿
600219,南山铝业,4.08,-1.21,-0.05,5.08亿,473.84亿
600221,海航控股,1.54,-3.75,-0.06,13.10亿,506.24亿
600222,太龙药业,6.21,0.65,0.04,7205.99万,35.64亿
600223,福瑞达,8.40,-1.18,-0.10,1.17亿,85.39亿
600226,亨通股份,2.75,-0.72,-0.02,1.05亿,81.80亿
600227,赤天化,2.47,-1.20,-0.03,4794.11万,31.56亿
600229,城市传媒,7.02,-0.43,-0.03,3087.23万,46.38亿
600230,沧州大化,14.12,-1.94,-0.28,6.00亿,58.45亿
600231,凌钢股份,2.08,-1.42,-0.03,5214.35万,58.64亿
600232,金鹰股份,6.40,0.16,0.01,4812.30万,23.34亿
600233,圆通速递,15.00,-1.90,-0.29,5.61亿,513.03亿
600234,科新发展,9.32,6.03,0.53,7366.26万,24.47亿
600235,民丰特纸,6.62,1.07,0.07,4658.23万,23.26亿
600236,桂冠电力,6.46,-0.46,-0.03,7964.80万,509.20亿
600237,铜峰电子,7.77,1.30,0.10,1.58亿,48.30亿
600239,云南城投,2.54,0.00,0.00,6143.72万,40.78亿
600241,时代万恒,8.51,0.00,0.00,4779.13万,25.05亿
600246,万通发展,7.22,0.00,0.00,3.78亿,138.40亿
600248,陕建股份,3.97,-0.75,-0.03,9088.31万,147.12亿
600249,两面针,5.90,-0.67,-0.04,6138.32万,32.45亿
600250,南京商旅,12.21,2.86,0.34,3.11亿,37.92亿
600251,冠农股份,8.12,-0.12,-0.01,8231.88万,63.09亿
600252,中恒集团,2.72,0.00,0.00,8772.79万,89.82亿
600255,鑫科材料,3.37,-1.17,-0.04,1.83亿,60.87亿
600256,广汇能源,5.52,-1.25,-0.07,4.52亿,352.84亿
600257,大湖股份,5.50,1.29,0.07,7865.21万,26.47亿
600258,首旅酒店,14.05,-1.26,-0.18,2.77亿,156.88亿
600259,广晟有色,66.40,3.11,2.00,22.50亿,223.39亿
600261,阳光照明,3.45,0.00,0.00,6153.93万,46.06亿
600262,北方股份,23.82,1.23,0.29,1.30亿,40.49亿
600266,城建发展,4.98,0.00,0.00,1.50亿,103.37亿
600267,海正药业,11.81,-0.09,-0.01,5.47亿,141.51亿
600268,国电南自,9.67,-2.62,-0.26,5.67亿,97.74亿
600269,赣粤高速,5.17,-1.15,-0.06,7840.85万,120.74亿
600271,航天信息,9.35,-0.64,-0.06,1.21亿,173.24亿
600272,开开实业,14.28,0.07,0.01,4008.96万,22.85亿
600273,嘉化能源,9.05,0.44,0.04,1.17亿,122.80亿
600276,恒瑞医药,62.04,10.00,5.64,99.44亿,3957.53亿
600278,东方创业,7.60,-0.78,-0.06,7512.36万,66.27亿
600279,重庆港,5.67,-1.05,-0.06,6157.16万,67.30亿
600280,中央商场,3.53,-0.56,-0.02,7141.89万,39.83亿
