code,name,price,rise,change,exchange,amount
600000,浦发银行,12.58,1.95,0.24,6.36亿,3692.50亿
600004,白云机场,9.26,-0.75,-0.07,1.05亿,219.16亿
600006,东风股份,7.15,0.56,0.04,1.78亿,143.00亿
600007,中国国贸,21.84,0.60,0.13,8640.13万,219.99亿
600008,首创环保,3.05,-0.33,-0.01,2.14亿,223.89亿
600009,上海机场,31.92,-0.50,-0.16,2.01亿,612.45亿
600010,包钢股份,1.82,0.55,0.01,6.03亿,571.13亿
600011,华能国际,7.32,0.27,0.02,2.36亿,805.03亿
600012,皖通高速,17.66,0.23,0.04,5479.67万,205.84亿
600015,华夏银行,7.88,1.55,0.12,4.24亿,1212.51亿
600016,民生银行,4.80,0.63,0.03,9.65亿,1702.18亿
600017,日照港,3.12,0.32,0.01,7409.55万,95.96亿
600018,上港集团,5.78,-0.52,-0.03,1.71亿,1341.80亿
600019,宝钢股份,6.64,-1.34,-0.09,3.41亿,1446.33亿
600020,中原高速,4.91,-1.21,-0.06,5562.65万,110.35亿
600021,上海电力,8.89,-0.67,-0.06,2.49亿,232.67亿
600022,山东钢铁,1.30,0.00,0.00,3807.53万,139.09亿
600023,浙能电力,5.34,-0.74,-0.04,2.16亿,716.03亿
600025,华能水电,9.73,0.10,0.01,1.97亿,1751.40亿
600026,中远海能,10.81,0.56,0.06,10.27亿,375.62亿
600027,华电国际,5.84,0.17,0.01,3.28亿,497.00亿
600028,中国石化,5.91,-0.34,-0.02,11.59亿,5605.15亿
600029,南方航空,5.79,-0.34,-0.02,2.97亿,733.79亿
600030,中信证券,26.68,1.45,0.38,20.72亿,3248.70亿
600031,三一重工,17.81,0.11,0.02,6.04亿,1507.48亿
600032,浙江新能,7.60,0.66,0.05,5522.67万,182.76亿
600033,福建高速,3.60,-0.55,-0.02,8242.01万,98.80亿
600035,楚天高速,4.47,-0.45,-0.02,6400.91万,71.97亿
600036,招商银行,45.78,1.33,0.60,18.85亿,9443.93亿
600037,歌华有线,7.76,0.91,0.07,1.29亿,108.00亿
600038,中直股份,37.41,0.27,0.10,2.92亿,250.25亿
600039,四川路桥,9.70,0.94,0.09,1.29亿,650.25亿
600048,保利发展,8.24,2.23,0.18,10.78亿,986.36亿
600050,中国联通,5.27,0.00,0.00,7.31亿,1621.41亿
600051,宁波联合,7.33,0.41,0.03,5217.53万,22.79亿
600052,东望时代,4.23,0.95,0.04,2330.88万,35.71亿
600053,九鼎投资,15.10,3.42,0.50,1.44亿,65.46亿
600054,黄山旅游,11.48,-0.09,-0.01,6335.84万,58.93亿
600055,万东医疗,17.20,-1.21,-0.21,1.11亿,120.93亿
600056,中国医药,10.37,-0.57,-0.06,9535.61万,155.07亿
600057,厦门象屿,7.03,-2.23,-0.16,1.33亿,154.13亿
600058,五矿发展,7.62,1.87,0.14,1.38亿,81.68亿
600059,古越龙山,10.66,5.34,0.54,5.19亿,97.17亿
600060,海信视像,22.90,2.28,0.51,2.71亿,296.58亿
600061,国投资本,7.29,0.14,0.01,1.63亿,466.12亿
600062,华润双鹤,18.69,-3.01,-0.58,4.22亿,193.00亿
600063,皖维高新,4.53,1.12,0.05,1.05亿,87.24亿
600064,南京高科,7.70,-0.39,-0.03,1.16亿,133.24亿
600066,宇通客车,24.48,-1.09,-0.27,2.98亿,541.97亿
600067,冠城新材,2.84,0.71,0.02,4490.13万,39.52亿
600071,凤凰光学,20.94,4.80,0.96,1.50亿,58.96亿
600072,中船科技,12.48,1.71,0.21,2.47亿,135.20亿
600073,光明肉业,8.02,-1.23,-0.10,9867.35万,75.21亿
600075,新疆天业,4.23,0.47,0.02,2538.53万,72.22亿
600076,康欣新材,2.33,0.87,0.02,3431.02万,31.33亿
600078,澄星股份,5.55,0.18,0.01,4315.35万,36.77亿
600079,人福医药,21.02,-0.85,-0.18,2.87亿,324.38亿
600080,金花股份,7.11,0.14,0.01,2366.70万,26.54亿
600081,东风科技,12.92,0.70,0.09,7496.21万,71.45亿
