code,name,price,rise,change,exchange,amount
600000,浦发银行,10.74,0.66,0.07,4.28亿,3152.42亿
600004,白云机场,8.79,0.00,0.00,7498.06万,208.03亿
600006,东风股份,7.06,-0.98,-0.07,2.25亿,141.20亿
600007,中国国贸,22.62,0.31,0.07,5130.00万,227.85亿
600008,首创环保,3.13,0.97,0.03,3.33亿,229.76亿
600009,上海机场,32.09,0.03,0.01,1.40亿,615.71亿
600010,包钢股份,1.76,-0.56,-0.01,3.20亿,552.30亿
600011,华能国际,7.18,1.41,0.10,4.59亿,789.64亿
600012,皖通高速,17.60,0.17,0.03,4162.97万,205.15亿
600015,华夏银行,8.00,1.78,0.14,3.39亿,1230.98亿
600016,民生银行,3.97,0.00,0.00,4.83亿,1407.85亿
600017,日照港,3.11,-0.95,-0.03,1.32亿,95.65亿
600018,上港集团,5.48,-0.18,-0.01,1.31亿,1272.16亿
600019,宝钢股份,6.52,-0.15,-0.01,3.70亿,1420.19亿
600020,中原高速,4.37,-0.46,-0.02,2751.24万,98.21亿
600021,上海电力,8.90,1.25,0.11,4.75亿,232.93亿
600022,山东钢铁,1.29,-0.77,-0.01,3335.42万,138.02亿
600023,浙能电力,5.75,1.77,0.10,3.63亿,771.00亿
600025,华能水电,9.29,0.65,0.06,2.57亿,1672.20亿
600026,中远海能,10.19,1.29,0.13,3.42亿,354.08亿
600027,华电国际,5.81,1.57,0.09,7.71亿,494.45亿
600028,中国石化,5.70,0.35,0.02,4.40亿,5405.98亿
600029,南方航空,5.70,0.00,0.00,1.93亿,722.38亿
600030,中信证券,25.00,-0.52,-0.13,13.02亿,3044.14亿
600031,三一重工,19.05,-1.80,-0.35,8.26亿,1612.43亿
600032,浙江新能,7.92,1.28,0.10,2.07亿,190.45亿
600033,福建高速,3.61,-0.28,-0.01,9260.94万,99.07亿
600035,楚天高速,4.31,0.00,0.00,5990.88万,69.40亿
600036,招商银行,42.21,0.52,0.22,17.47亿,8707.48亿
600037,歌华有线,6.91,-1.00,-0.07,7113.94万,96.17亿
600038,中直股份,35.90,-0.50,-0.18,1.61亿,240.15亿
600039,四川路桥,8.85,4.12,0.35,4.07亿,593.27亿
600048,保利发展,8.86,0.23,0.02,7.29亿,1060.58亿
600050,中国联通,5.33,-0.19,-0.01,9.77亿,1639.87亿
600051,宁波联合,7.40,9.96,0.67,2.77亿,23.01亿
600052,东望时代,4.05,-0.73,-0.03,1559.72万,34.19亿
600053,九鼎投资,13.24,-1.85,-0.25,1.07亿,57.40亿
600054,黄山旅游,11.77,-1.01,-0.12,1.06亿,60.42亿
600055,万东医疗,17.58,-0.23,-0.04,7217.77万,123.60亿
600056,中国医药,10.11,-0.10,-0.01,6750.23万,151.18亿
600057,厦门象屿,6.42,1.10,0.07,1.48亿,140.76亿
600058,五矿发展,7.05,0.00,0.00,4058.58万,75.57亿
600059,古越龙山,8.68,0.12,0.01,8319.26万,79.12亿
600060,海信视像,24.70,2.07,0.50,3.14亿,319.89亿
600061,国投资本,6.82,-0.58,-0.04,1.53亿,436.07亿
600062,华润双鹤,18.32,0.83,0.15,1.94亿,189.18亿
600063,皖维高新,4.58,-1.08,-0.05,1.06亿,88.21亿
600064,南京高科,7.48,2.47,0.18,1.79亿,129.43亿
600066,宇通客车,27.75,-0.47,-0.13,2.63亿,614.37亿
600067,冠城新材,2.33,0.00,0.00,2558.14万,32.43亿
600071,凤凰光学,19.47,0.36,0.07,8050.07万,54.82亿
600072,中船科技,11.84,-1.42,-0.17,1.08亿,128.27亿
600073,光明肉业,8.19,-1.56,-0.13,1.41亿,76.80亿
600075,新疆天业,4.25,0.47,0.02,3512.76万,72.56亿
600076,康欣新材,2.06,4.04,0.08,9856.47万,27.70亿
600078,澄星股份,5.22,0.19,0.01,2524.39万,34.59亿
600079,人福医药,20.46,-2.06,-0.43,3.46亿,315.73亿
600080,金花股份,7.31,-0.14,-0.01,2912.12万,27.29亿
600081,东风科技,13.95,-3.59,-0.52,3.10亿,77.15亿
600082,海泰发展,3.03,2.37,0.07,4583.50万,19.22亿
600084,中信尼雅,5.45,-0.37,-0.02,1472.09万,61.24亿
600085,同仁堂,36.37,-0.22,-0.08,1.69亿,498.80亿
600088,中视传媒,16.43,-0.67,-0.11,3767.03万,65.34亿
600089,特变电工,11.57,-0.34,-0.04,1.99亿,584.61亿
600094,大名城,3.13,-2.19,-0.07,1.12亿,69.55亿
600095,湘财股份,8.03,-4.75,-0.40,8.16亿,229.59亿
600096,云天化,22.40,0.58,0.13,4.11亿,410.89亿
600097,开创国际,9.55,-1.04,-0.10,5056.74万,23.01亿
600098,广州发展,6.45,1.10,0.07,1.18亿,225.67亿
600099,林海股份,10.10,0.00,0.00,4195.66万,22.13亿
600100,同方股份,6.98,-2.24,-0.16,2.78亿,233.85亿
600101,明星电力,11.81,1.46,0.17,9.97亿,64.70亿
600103,青山纸业,2.14,0.94,0.02,6178.67万,47.34亿
600104,上汽集团,15.53,0.78,0.12,4.65亿,1797.64亿
600105,永鼎股份,6.30,-0.32,-0.02,12.05亿,92.11亿
600106,重庆路桥,5.10,-1.92,-0.10,7170.06万,67.78亿
600107,美尔雅,4.14,-2.13,-0.09,5527.09万,14.90亿
600108,亚盛集团,2.87,-0.69,-0.02,9681.17万,55.88亿
600109,国金证券,7.92,-0.50,-0.04,1.57亿,253.40亿
600110,诺德股份,3.52,-0.56,-0.02,5719.89万,61.08亿
600111,北方稀土,23.00,-2.13,-0.50,9.43亿,831.47亿
600113,浙江东日,14.45,0.77,0.11,4885.49万,59.45亿
600114,东睦股份,18.83,-1.93,-0.37,2.06亿,116.07亿
600115,中国东航,3.75,0.27,0.01,1.60亿,641.79亿
600116,三峡水利,6.74,1.05,0.07,9298.68万,128.88亿
600117,西宁特钢,2.04,-0.97,-0.02,2608.64万,66.40亿
600118,中国卫星,26.02,-0.91,-0.24,2.15亿,307.68亿
600119,长江投资,7.63,-5.10,-0.41,1.64亿,27.87亿
600120,浙江东方,5.83,-1.85,-0.11,3.31亿,199.12亿
600121,郑州煤电,3.79,0.27,0.01,8088.41万,46.18亿
600123,兰花科创,7.22,0.00,0.00,5273.16万,106.37亿
600125,铁龙物流,5.68,-0.53,-0.03,6240.02万,74.15亿
600126,杭钢股份,10.90,-3.20,-0.36,20.56亿,368.11亿
600127,金健米业,6.66,-1.77,-0.12,1.63亿,42.74亿
600128,苏豪弘业,9.93,-2.26,-0.23,2.13亿,24.50亿
600129,太极集团,21.02,3.14,0.64,4.26亿,117.06亿
600130,波导股份,2.74,-3.86,-0.11,7982.69万,20.55亿
600131,国网信通,18.00,-1.64,-0.30,1.47亿,215.26亿
600132,重庆啤酒,56.46,-0.25,-0.14,1.17亿,273.25亿
600133,东湖高新,8.91,-1.87,-0.17,1.04亿,95.00亿
600135,乐凯胶片,6.82,-2.01,-0.14,5471.02万,37.74亿
600137,浪莎股份,14.88,-0.13,-0.02,1500.59万,14.47亿
600138,中青旅,10.01,-0.79,-0.08,1.23亿,72.46亿
600141,兴发集团,20.26,-0.05,-0.01,1.57亿,223.52亿
600143,金发科技,10.68,0.09,0.01,6.18亿,277.38亿
600148,长春一东,17.25,-2.04,-0.36,3500.82万,24.41亿
600149,廊坊发展,4.30,0.70,0.03,3788.05万,16.35亿
600150,中国船舶,28.80,-1.03,-0.30,5.50亿,1288.06亿
600151,航天机电,6.30,-1.10,-0.07,7521.89万,90.36亿
600152,维科技术,5.74,-1.38,-0.08,4384.97万,30.37亿
600153,建发股份,10.64,1.33,0.14,1.36亿,308.51亿
600155,华创云信,6.64,-0.75,-0.05,1.12亿,147.70亿
600156,华升股份,5.23,-0.95,-0.05,3079.62万,21.03亿
600157,永泰能源,1.35,-0.73,-0.01,4.25亿,299.94亿
600158,中体产业,8.17,-1.33,-0.11,1.40亿,78.39亿
600159,大龙地产,2.41,0.00,0.00,3652.35万,20.00亿
600160,巨化股份,24.74,0.32,0.08,3.44亿,667.92亿
600161,天坛生物,20.14,0.05,0.01,3.71亿,398.24亿
600162,香江控股,1.77,0.00,0.00,5116.52万,57.85亿
600163,中闽能源,5.62,-0.18,-0.01,2.45亿,106.95亿
600166,福田汽车,2.57,1.58,0.04,4.39亿,166.76亿
600167,联美控股,5.70,0.71,0.04,2533.92万,128.98亿
600168,武汉控股,4.57,0.00,0.00,2495.81万,45.40亿
600169,太原重工,2.32,0.00,0.00,5069.99万,77.33亿
600170,上海建工,2.62,0.00,0.00,3.03亿,232.81亿
600171,上海贝岭,35.79,-2.90,-1.07,14.88亿,253.72亿
600172,黄河旋风,3.73,-1.84,-0.07,9263.18万,47.60亿
600173,卧龙地产,6.54,0.61,0.04,1.70亿,45.81亿
600176,中国巨石,11.81,-1.58,-0.19,3.86亿,472.77亿
