code,name,price,exchange,amount
600176,中国巨石,11.05,2.78亿,442.35亿
600177,雅戈尔,7.57,1.57亿,349.99亿
600178,XD东安动,12.50,4.24亿,58.31亿
600179,安通控股,2.86,1.32亿,106.80亿
600180,瑞茂通,4.48,4307.39万,48.68亿
600182,S佳通,15.04,7058.91万,25.57亿
600183,生益科技,20.90,4.60亿,495.61亿
600184,光电股份,10.44,6955.31万,53.11亿
600185,格力地产,7.09,2.09亿,133.65亿
600186,莲花控股,5.20,6.88亿,92.78亿
600187,国中水务,4.64,7.51亿,74.88亿
600188,兖矿能源,15.40,4.24亿,906.62亿
600189,泉阳泉,7.43,1.98亿,53.14亿
600191,华资实业,6.02,3068.69万,29.19亿
600192,长城电工,6.62,1.47亿,29.24亿
600193,创兴资源,3.57,8190.06万,15.19亿
600195,中牧股份,7.02,7318.81万,71.68亿
600196,复星医药,26.81,4.55亿,567.97亿
600197,伊力特,17.89,1.38亿,84.44亿
600198,大唐电信,11.07,9.88亿,97.47亿
600199,金种子酒,13.90,2.53亿,91.43亿
600200,江苏吴中,9.68,1.96亿,68.81亿
600201,生物股份,6.84,1.67亿,76.63亿
600202,哈空调,4.68,3977.34万,17.94亿
600203,福日电子,11.78,6.10亿,69.85亿
600206,有研新材,20.85,55.89亿,176.51亿
600207,安彩高科,5.18,1.74亿,56.43亿
600208,衢州发展,2.91,4.52亿,247.58亿
600210,紫江企业,7.45,15.16亿,113.00亿
600211,西藏药业,38.31,1.57亿,123.48亿
600212,绿能慧充,8.78,2.10亿,44.93亿
600215,派斯林,7.19,7757.75万,32.85亿
600216,浙江医药,17.09,2.84亿,164.34亿
600217,中再资环,6.14,2.40亿,85.26亿
600218,全柴动力,7.94,5327.84万,34.59亿
600219,南山铝业,4.17,3.44亿,488.25亿
600221,海航控股,1.69,22.47亿,555.55亿
600222,太龙药业,5.17,6566.91万,29.67亿
600223,福瑞达,6.94,7930.33万,70.55亿
600226,亨通股份,2.41,8103.32万,73.72亿
600227,赤天化,2.74,3.69亿,35.01亿
600228,返利科技,6.97,1.73亿,29.04亿
600229,城市传媒,7.43,1.22亿,49.87亿
600230,沧州大化,10.93,4197.44万,45.25亿
600231,凌钢股份,1.95,2936.78万,54.97亿
600232,金鹰股份,5.39,2759.83万,19.66亿
600233,圆通速递,16.50,3.45亿,568.49亿
600235,民丰特纸,5.64,4125.04万,19.81亿
600236,桂冠电力,6.28,1.43亿,495.01亿
600237,铜峰电子,7.24,2.62亿,43.76亿
600238,海南椰岛,8.52,7196.20万,37.91亿
600239,云南城投,3.07,2.65亿,49.29亿
600241,时代万恒,7.24,4219.55万,21.31亿
600243,青海华鼎,4.27,5628.71万,18.74亿
600246,万通发展,11.13,9.46亿,221.20亿
600248,陕建股份,4.59,1.65亿,168.94亿
600249,两面针,4.83,5388.73万,26.57亿
600250,南京商旅,9.56,1.37亿,27.16亿
600251,冠农股份,7.42,5665.62万,57.65亿
600252,中恒集团,2.64,1.95亿,90.43亿
600255,鑫科材料,2.25,1.06亿,40.64亿
600256,广汇能源,7.56,6.22亿,496.37亿
600257,大湖股份,5.36,1.65亿,25.79亿
600258,首旅酒店,14.48,1.42亿,161.68亿
600259,广晟有色,30.46,1.96亿,100.36亿
600261,阳光照明,3.23,4251.93万,43.12亿
600262,北方股份,19.26,7967.96万,32.74亿
600265,景谷林业,16.37,1323.54万,21.25亿
600266,城建发展,5.65,2.25亿,117.28亿
600267,海正药业,8.45,1.07亿,101.25亿
600268,国电南自,6.95,1.27亿,69.91亿
600269,赣粤高速,5.12,8503.30万,119.57亿
600271,航天信息,10.12,2.34亿,187.51亿
600272,开开实业,12.01,1.71亿,19.22亿
600273,嘉化能源,7.69,9548.54万,106.97亿
600276,恒瑞医药,47.70,15.93亿,3042.78亿
600278,东方创业,7.09,8392.74万,61.78亿
600279,重庆港,5.84,6.47亿,69.31亿
600280,中央商场,3.61,2.03亿,40.73亿
600281,华阳新材,4.23,2.41亿,21.76亿
600282,南钢股份,4.21,1.11亿,259.55亿
600283,钱江水利,9.16,3636.63万,45.27亿
600284,浦东建设,6.26,9910.08万,60.74亿
600285,羚锐制药,21.56,1.58亿,122.27亿
600288,大恒科技,8.66,1.29亿,37.83亿
600292,远达环保,14.05,24.82亿,109.70亿
600293,三峡新材,2.96,5308.58万,34.34亿
600295,鄂尔多斯,9.53,7909.43万,188.27亿
600298,安琪酵母,36.10,2.06亿,308.47亿
600299,安迪苏,11.14,7170.82万,298.76亿
600300,维维股份,2.91,8572.90万,47.06亿
600301,华锡有色,18.44,1.73亿,50.77亿
600302,标准股份,5.05,4136.87万,17.47亿
600305,恒顺醋业,8.12,6706.01万,89.57亿
600307,酒钢宏兴,1.65,1.80亿,103.35亿
600308,华泰股份,3.67,5340.61万,55.67亿
600309,万华化学,76.99,14.61亿,2417.29亿
600310,广西能源,4.80,1.93亿,70.35亿
600312,平高电气,18.50,2.99亿,251.03亿
600313,农发种业,6.96,2.65亿,75.32亿
600315,上海家化,17.27,8792.33万,116.09亿
600316,洪都航空,34.41,7.62亿,246.76亿
600318,新力金融,9.39,5.00亿,48.15亿
600319,亚星化学,5.09,2641.15万,16.06亿
600320,振华重工,4.14,1.40亿,137.53亿
600322,津投城开,2.19,1.19亿,24.21亿
600323,瀚蓝环境,21.72,1.11亿,177.09亿
600325,华发股份,6.52,2.74亿,167.64亿
600326,西藏天路,7.80,10.99亿,101.59亿
600327,大东方,4.04,1.09亿,35.75亿
600328,中盐化工,8.29,1.74亿,121.10亿
600329,达仁堂,33.85,1.88亿,191.55亿
600330,天通股份,7.64,1.91亿,94.23亿
