code,name,price,rise,change,exchange,amount
600000,浦发银行,10.30,0.29,0.03,4.96亿,3023.27亿
600004,白云机场,9.17,-0.22,-0.02,1.23亿,217.03亿
600006,东风股份,6.88,-2.27,-0.16,3.48亿,137.60亿
600007,中国国贸,23.45,-0.26,-0.06,7088.67万,236.21亿
600008,首创环保,3.12,-0.64,-0.02,2.53亿,229.03亿
600009,上海机场,32.88,-0.39,-0.13,1.95亿,630.87亿
600010,包钢股份,1.80,-1.64,-0.03,7.02亿,566.95亿
600011,华能国际,6.53,0.00,0.00,2.36亿,718.15亿
600012,皖通高速,16.73,3.53,0.57,1.29亿,195.00亿
600015,华夏银行,7.68,0.00,0.00,2.97亿,1181.74亿
600016,民生银行,4.04,-0.49,-0.02,9.76亿,1432.67亿
600017,日照港,3.04,-0.33,-0.01,9801.69万,93.50亿
600018,上港集团,5.91,1.20,0.07,2.04亿,1371.98亿
600019,宝钢股份,6.72,-0.15,-0.01,4.50亿,1468.85亿
600020,中原高速,4.07,-0.24,-0.01,5715.05万,91.47亿
600021,上海电力,8.78,-0.34,-0.03,2.43亿,229.79亿
600022,山东钢铁,1.38,-1.43,-0.02,1.15亿,147.64亿
600023,浙能电力,5.36,1.13,0.06,2.66亿,718.71亿
600025,华能水电,9.19,0.66,0.06,2.93亿,1654.20亿
600026,中远海能,12.64,9.06,1.05,18.81亿,439.21亿
600027,华电国际,5.16,0.39,0.02,3.44亿,439.13亿
600028,中国石化,6.58,0.77,0.05,10.51亿,6240.59亿
600029,南方航空,6.13,-1.13,-0.07,3.32亿,776.88亿
600030,中信证券,26.98,-0.66,-0.18,31.99亿,3285.23亿
600031,三一重工,15.57,0.32,0.05,8.89亿,1317.88亿
600032,浙江新能,7.03,-0.42,-0.03,4541.29万,169.05亿
600033,福建高速,4.01,1.26,0.05,2.04亿,110.05亿
600035,楚天高速,4.41,-0.23,-0.01,5126.23万,71.01亿
600036,招商银行,39.28,0.98,0.38,29.53亿,8103.05亿
600037,歌华有线,6.81,-1.30,-0.09,9099.35万,94.78亿
600038,中直股份,36.83,-0.97,-0.36,1.41亿,217.10亿
600039,四川路桥,7.36,2.08,0.15,2.75亿,493.13亿
600048,保利发展,8.60,-0.81,-0.07,7.24亿,1029.46亿
600050,中国联通,4.91,0.20,0.01,14.61亿,1535.85亿
600051,宁波联合,6.30,-0.32,-0.02,1711.76万,19.59亿
600052,东望时代,4.20,0.24,0.01,3601.26万,35.46亿
600053,九鼎投资,13.36,-1.55,-0.21,8907.56万,57.92亿
600054,黄山旅游,10.87,-0.64,-0.07,5003.80万,55.80亿
600055,万东医疗,14.36,-0.55,-0.08,7120.97万,77.66亿
600056,中国医药,10.94,-1.44,-0.16,2.15亿,163.59亿
600057,厦门象屿,5.92,-1.66,-0.10,1.06亿,129.80亿
600058,五矿发展,6.87,-1.44,-0.10,4120.55万,73.64亿
600059,古越龙山,8.34,-0.36,-0.03,9038.61万,76.02亿
600060,海信视像,20.78,3.44,0.69,4.03亿,269.12亿
600061,国投资本,6.98,-1.27,-0.09,2.02亿,446.30亿
600062,华润双鹤,19.15,-0.98,-0.19,2.33亿,196.71亿
600063,皖维高新,3.84,-0.78,-0.03,8334.43万,73.95亿
600064,南京高科,7.24,-2.43,-0.18,1.61亿,125.28亿
600066,宇通客车,28.40,2.82,0.78,10.07亿,628.76亿
600067,冠城新材,2.51,0.00,0.00,3963.90万,34.93亿
600071,凤凰光学,21.45,-1.83,-0.40,1.76亿,60.40亿
600072,中船科技,12.33,-3.07,-0.39,4.71亿,133.58亿
600073,光明肉业,6.53,-1.21,-0.08,7161.25万,61.23亿
600075,新疆天业,4.16,-1.42,-0.06,4145.31万,71.03亿
600076,康欣新材,1.96,0.00,0.00,3020.83万,26.35亿
600078,澄星股份,6.50,9.98,0.59,3.09亿,43.07亿
600079,人福医药,21.08,-1.26,-0.27,2.71亿,325.30亿
600080,金花股份,8.26,5.09,0.40,2.29亿,30.83亿
600081,东风科技,9.78,-0.81,-0.08,4379.93万,54.09亿
600082,海泰发展,2.63,0.77,0.02,2514.15万,16.68亿
600084,中信尼雅,5.09,1.39,0.07,2373.94万,57.20亿
600085,同仁堂,37.77,-3.00,-1.17,3.60亿,518.00亿
600088,中视传媒,17.98,1.35,0.24,1.74亿,71.51亿
600089,特变电工,12.14,-0.98,-0.12,3.89亿,613.41亿
600094,大名城,3.33,-2.63,-0.09,9425.60万,75.81亿
600095,湘财股份,6.74,-1.03,-0.07,1.77亿,192.71亿
600096,云天化,21.50,-1.24,-0.27,7.10亿,394.38亿
600097,开创国际,9.14,0.00,0.00,4034.18万,22.02亿
600098,广州发展,6.12,-0.16,-0.01,1.01亿,214.12亿
600099,林海股份,8.49,-0.70,-0.06,2757.45万,18.60亿
600100,同方股份,6.41,-1.08,-0.07,2.78亿,214.75亿
600101,明星电力,8.33,-0.36,-0.03,1.06亿,45.64亿
600103,青山纸业,2.25,-3.02,-0.07,2.91亿,49.78亿
600104,上汽集团,17.89,-3.77,-0.70,24.40亿,2070.82亿
600105,永鼎股份,5.00,1.42,0.07,6.54亿,73.10亿
600106,重庆路桥,5.20,-1.33,-0.07,1.09亿,69.11亿
