code,name,index
777020,IH2508多单持仓排行,14621
777021,IH2508空单持仓排行,15567
777000,IF2508多单持仓排行,32835
777001,IF2508空单持仓排行,32659
777010,IC2508多单持仓排行,29059
777011,IC2508空单持仓排行,30127
000001,上证指数,3665.92
000002,Ａ股指数,3842.66
000003,Ｂ股指数,267.37
000004,工业指数,3182.30
000005,商业指数,2909.23
000006,地产指数,4675.01
000007,公用指数,4666.51
000008,综合指数,3547.27
000009,上证380,5953.51
000010,上证180,9133.62
000011,基金指数,7003.44
000012,国债指数,225.72
000015,红利指数,3149.81
000016,上证50,2807.01
000017,新综指,3098.23
000018,180金融,5973.15
000019,治理指数,1172.30
000020,中型综指,1491.14
000021,180治理,1030.66
000022,沪公司债,251.74
000025,180基建,1848.61
000026,180资源,4117.97
000027,180运输,758.99
000028,180成长,3382.43
000029,180价值,4481.03
000030,180R成长,2219.21
000031,180R价值,3223.50
000032,上证能源,1879.98
000033,上证材料,2661.24
000034,上证工业,2151.36
000035,上证可选,2813.02
000036,上证消费,11097.67
000037,上证医药,6814.70
000038,上证金融,5957.17
000039,上证信息,4168.84
000040,上证电信,3744.78
000041,上证公用,2499.00
000042,上证央企,1791.15
000043,超大盘,2319.62
000044,上证中盘,4262.09
000045,上证小盘,5095.52
000046,上证中小,4669.30
000047,上证全指,3615.47
000048,责任指数,1439.56
000049,上证民企,1701.00
000050,50等权,2191.88
000051,180等权,8591.28
000052,50基本,2919.48
000053,180基本,12290.84
000054,上证海外,1482.95
000055,上证地企,1485.78
000056,上证国企,1164.09
000057,全指成长,3422.10
000058,全指价值,4634.29
000059,全R成长,2907.19
000060,全R价值,4289.93
000061,沪企债30,178.33
000062,上证沪企,2012.31
000063,上证周期,3777.81
000064,非周期,3263.72
000065,上证龙头,3386.14
000066,上证商品,2887.56
000067,上证新兴,7451.57
000068,上证资源,3113.36
000069,消费80,4911.92
000070,能源等权,2682.52
000071,材料等权,3624.19
000072,工业等权,2820.43
000073,可选等权,3262.07
000074,消费等权,6949.81
000075,医药等权,7689.11
000076,金融等权,5844.28
000077,信息等权,4705.67
000078,电信等权,3161.23
000079,公用等权,2420.99
000090,上证流通,1327.96
000091,沪财中小,13539.87
000092,资源50,3771.50
000093,180分层,11452.75
000094,上证上游,3392.36
000095,上证中游,3186.07
000096,上证下游,4325.39
000097,高端装备,9131.56
000098,上证F200,5381.70
000099,上证F300,8369.47
000100,上证F500,6013.80
000101,5年信用,249.46
000102,沪投资品,6075.83
000103,沪消费品,8329.93
000104,380能源,1345.42
000105,380材料,4441.60
000106,380工业,5067.41
000107,380可选,5364.73
000108,380消费,12057.46
000109,380医药,11241.81
000110,380金融,4322.52
000111,380信息,8567.16
000112,380电信,5110.24
000113,380公用,2689.75
000114,持续产业,1156.41
000115,380等权,7945.00
000116,信用100,198.50
000117,380成长,3856.64
000118,380价值,9412.50
000119,380R成长,3907.83
000120,380R价值,8875.27
000121,医药主题,8922.93
000122,农业主题,1590.29
000123,180动态,6156.50
000125,180稳定,11681.36
000126,消费50,8063.50
000128,380基本,8394.21
000129,180波动,15247.10
000130,380波动,12890.40
000131,上证高新,3437.67
000132,上证100,5475.80
000133,上证150,5929.09
000134,上证银行,1100.20
000135,180高贝,5683.73
000136,180低贝,12099.51
000137,380高贝,5194.65
000138,380低贝,7815.49
000139,上证转债,412.12
000141,380动态,3499.44
000142,380稳定,9089.31
000145,优势资源,6119.07
000146,优势制造,6790.13
000147,优势消费,6958.92
000148,消费领先,9238.85
000149,180红利,4184.14
000150,380红利,11953.79
000151,上国红利,1586.73
000152,上央红利,2869.51
000153,上民红利,3123.30
000155,市值百强,3042.27
000158,上证环保,1165.30
000159,沪股通,3363.08
000160,沪新丝路,1897.87
000161,沪中国造,1569.56
000162,沪互联+,3528.20
000170,50AH优选,5782.44
000300,沪深300,4143.83
000510,中证A500,4907.80
000680,科创综指,1382.09
000681,科创价格,1335.12
000682,科创信息,1483.34
000683,科创生物,1212.61
000685,科创芯片,1870.68
000687,科创高装,1150.01
000688,科创50,1069.81
000689,科创材料,959.07
000690,科创成长,1327.79
000691,科创ESG,1173.14
000692,科创新能,972.73
000693,科创机械,1247.66
000695,科长三角,862.57
000697,科大湾区,1165.13
000698,科创100,1213.65
000699,科创200,1169.20
000802,500沪市,6705.20
000814,细分医药,8874.64
000819,有色金属,6248.48
000823,800有色,7160.11
000827,中证环保,1455.73
000847,腾讯济安,3306.00
000849,300非银,10612.47
000851,百发100,18157.88
000852,中证1000,6963.61
000853,CSSW丝路,1399.65
000854,500原料,4577.00
000856,500工业,6063.52
000857,500医药,11058.75
000858,500信息,8312.92
