code,name,index
777020,IH2507多单持仓排行,18733
777021,IH2507空单持仓排行,21798
777000,IF2507多单持仓排行,44552
777001,IF2507空单持仓排行,49253
777010,IC2507多单持仓排行,52039
777011,IC2507空单持仓排行,53759
000001,上证指数,3493.05
000002,Ａ股指数,3661.33
000003,Ｂ股指数,260.97
000004,工业指数,2949.14
000005,商业指数,2856.50
000006,地产指数,4754.39
000007,公用指数,4668.61
000008,综合指数,3496.31
000009,上证380,5581.90
000010,上证180,8785.66
000011,基金指数,6944.81
000012,国债指数,225.96
000015,红利指数,3138.04
000016,上证50,2739.92
000017,新综指,2952.02
000018,180金融,6040.80
000019,治理指数,1151.61
000020,中型综指,1321.00
000021,180治理,1019.55
000022,沪公司债,250.98
000025,180基建,1884.50
000026,180资源,3767.53
000027,180运输,772.54
000028,180成长,3214.32
000029,180价值,4513.25
000030,180R成长,2092.45
000031,180R价值,3216.27
000032,上证能源,1797.77
000033,上证材料,2370.13
000034,上证工业,2090.50
000035,上证可选,2722.98
000036,上证消费,10985.55
000037,上证医药,6198.26
000038,上证金融,6024.42
000039,上证信息,3773.56
000040,上证电信,3683.89
000041,上证公用,2552.89
000042,上证央企,1794.47
000043,超大盘,2211.08
000044,上证中盘,4129.56
000045,上证小盘,4761.48
000046,上证中小,4450.41
000047,上证全指,3483.32
000048,责任指数,1438.13
000049,上证民企,1601.99
000050,50等权,2107.21
000051,180等权,8292.79
000052,50基本,2910.07
000053,180基本,12173.26
000054,上证海外,1446.64
000055,上证地企,1442.92
000056,上证国企,1153.17
000057,全指成长,3271.87
000058,全指价值,4626.62
000059,全R成长,2737.16
000060,全R价值,4212.49
000061,沪企债30,178.71
000062,上证沪企,1965.03
000063,上证周期,3740.15
000064,非周期,3109.07
000065,上证龙头,3239.90
000066,上证商品,2606.16
000067,上证新兴,6910.11
000068,上证资源,2825.29
000069,消费80,4715.58
000070,能源等权,2538.46
000071,材料等权,3221.13
000072,工业等权,2733.17
000073,可选等权,3091.35
000074,消费等权,6819.09
000075,医药等权,7139.27
000076,金融等权,5914.77
000077,信息等权,4358.63
000078,电信等权,3117.42
000079,公用等权,2428.15
000090,上证流通,1259.66
000091,沪财中小,12328.95
000092,资源50,3415.27
000093,180分层,11098.08
000094,上证上游,3107.33
000095,上证中游,2949.99
000096,上证下游,4189.00
000097,高端装备,8551.46
000098,上证F200,5320.25
000099,上证F300,7953.80
000100,上证F500,5908.81
000101,5年信用,248.82
000102,沪投资品,5606.94
000103,沪消费品,7852.45
