code,name,index
777000,IF2603多单持仓排行,123103
777001,IF2603空单持仓排行,145227
778000,中信证券多单持仓,15801
778001,中信证券空单持仓,22429
000001,上证指数,4023.42
000002,Ａ股指数,4218.60
000003,Ｂ股指数,256.03
000004,工业指数,3668.85
000005,商业指数,2870.44
000006,地产指数,4280.59
000007,公用指数,4795.07
000008,综合指数,3668.46
000009,上证380,6709.16
000010,上证180,10215.73
000011,基金指数,7165.08
000012,国债指数,224.70
000015,红利指数,3036.40
000016,上证50,3099.75
000017,新综指,3400.95
000018,180金融,6027.29
000019,治理指数,1264.59
000020,中型综指,1739.80
000021,180治理,1107.07
000022,沪公司债,253.77
000025,180基建,1771.51
000026,180资源,5645.33
000027,180运输,769.11
000028,180成长,4031.48
000029,180价值,4496.14
000030,180R成长,2645.52
000031,180R价值,3290.02
000032,上证能源,1939.08
000033,上证材料,3712.51
000034,上证工业,2246.64
000035,上证可选,3021.05
000036,上证消费,11027.72
000037,上证医药,6581.25
000038,上证金融,6023.43
000039,上证信息,5720.38
000040,上证电信,4045.90
000041,上证公用,2544.16
000042,上证央企,1826.59
000043,超大盘,2660.62
000044,上证中盘,4628.49
000045,上证小盘,5874.67
000046,上证中小,5215.73
000047,上证全指,4017.88
000048,责任指数,1500.71
000049,上证民企,2067.78
000050,50等权,2453.90
000051,180等权,9433.72
000052,50基本,3062.61
000053,180基本,12705.33
000054,上证海外,1644.76
000055,上证地企,1613.64
000056,上证国企,1269.09
000057,全指成长,3949.81
000058,全指价值,4773.48
000059,全R成长,3424.82
000060,全R价值,4526.75
000061,沪企债30,178.10
000062,上证沪企,2138.77
000063,上证周期,4114.90
000064,非周期,3636.02
000065,上证龙头,3654.72
000066,上证商品,3573.79
000067,上证新兴,9174.07
000068,上证资源,4080.84
000069,消费80,5015.34
000070,能源等权,2611.66
000071,材料等权,4961.93
000072,工业等权,3031.85
000073,可选等权,3543.53
000074,消费等权,7178.04
000075,医药等权,7119.29
000076,金融等权,5825.40
000077,信息等权,6293.04
000078,电信等权,3626.80
000079,公用等权,2545.43
000090,上证流通,1473.69
000091,沪财中小,14778.96
000092,资源50,4926.58
000093,180分层,12247.81
000094,上证上游,4625.90
000095,上证中游,3981.45
000096,上证下游,4287.91
000097,高端装备,11789.19
000098,上证F200,5586.81
000099,上证F300,9232.74
000100,上证F500,6306.16
000101,5年信用,251.66
000102,沪投资品,7703.87
000103,沪消费品,8221.87
000104,380能源,1272.68
000105,380材料,5423.67
000106,380工业,6220.39
000107,380可选,5691.92
000108,380消费,12407.20
000109,380医药,10208.65
000110,380金融,4303.67
000111,380信息,10144.88
000112,380电信,6300.38
000113,380公用,2999.81
000114,持续产业,1250.09
000115,380等权,8810.45
000116,信用100,199.04
000117,380成长,4432.84
000118,380价值,10173.92
000119,380R成长,4474.66
000120,380R价值,9825.69
000121,医药主题,8247.84
000122,农业主题,1634.19
000123,180动态,7372.82
000125,180稳定,11894.37
000126,消费50,8389.00
000128,380基本,9153.33
000129,180波动,15274.23
000130,380波动,13352.17
000131,上证高新,3740.81
000132,上证100,6142.97
000133,上证150,6976.42
000134,上证银行,1035.94
000135,180高贝,6553.46
000136,180低贝,12913.65
000137,380高贝,6119.86
000138,380低贝,8172.58
000139,上证转债,434.96
000141,380动态,4020.62
000142,380稳定,9980.60
000145,优势资源,8293.80
000146,优势制造,8073.85
000147,优势消费,6880.89
000148,消费领先,9649.12
000149,180红利,4020.34
000150,380红利,11626.49
000151,上国红利,1528.30
000152,上央红利,2849.30
000153,上民红利,3125.64
000155,市值百强,3364.31
000158,上证环保,1326.80
000159,沪股通,3740.71
000160,沪新丝路,2160.73
000161,沪中国造,1797.52
000162,沪互联+,3703.03
000170,50AH优选,6328.94
000300,沪深300,4717.75
000510,中证A500,5763.30
000680,科创综指,1695.84
000681,科创价格,1636.95
000682,科创信息,2089.80
000683,科创生物,1130.31
000685,科创芯片,2738.59
000687,科创高装,1351.36
000688,科创50,1403.41
000689,科创材料,1246.35
000690,科创成长,1921.77
000691,科创ESG,1491.19
000692,科创新能,1190.91
000693,科创机械,1457.41
000695,科长三角,1049.96
000697,科大湾区,1364.35
000698,科创100,1506.75
000699,科创200,1371.24
000802,500沪市,7766.62
000814,细分医药,8630.17
000819,有色金属,9597.61
000823,800有色,11114.31
000827,中证环保,1897.21
000847,腾讯济安,3558.51
000849,300非银,11559.48
000851,百发100,21054.48
000852,中证1000,7753.88
000853,CSSW丝路,1660.87
000854,500原料,6000.44
000856,500工业,7725.20
000857,500医药,10655.12
000858,500信息,10948.00
000860,结构调整,1243.43
000863,CS精准医,2803.31
000865,上海国企,1541.70
000867,港中小企,2745.80
000869,HK银行,4412.54
000888,上证收益,4608.04
000891,新兴综指,1926.31
000901,小康指数,6382.91
000903,中证A100,4593.35
000905,中证500,7651.20
000906,中证800,5214.24
000913,300医药,8506.05
000914,300金融,6818.61
000928,中证能源,2925.66
000932,中证消费,15430.12
000933,中证医药,8382.74
000934,中证金融,6360.90
000935,中证信息,6658.80
000974,800金融,7143.25
000982,500等权,9217.23
000986,全指能源,2321.37
000987,全指材料,5108.58
000989,全指可选,5635.18
000991,全指医药,9041.54
000992,全指金融,6073.26
000993,全指信息,8797.94
399001,深证成指,13828.63
399002,深成指R,18563.91
399003,成份Ｂ指,8381.94
399004,深证100R,8428.27
399005,中小100,8439.12
399006,创业板指,3294.55
399007,深证300,5809.75
399008,中小300,1687.67
399009,深证200,5429.40
399010,深证700,9076.56
399011,深证1000,6697.05
399012,创业300,4645.79
399013,深市精选,5638.65
399015,中小创新,3015.62
399016,深证创新,5967.65
399017,SME创新,5032.79
399018,创业创新,6137.01
399019,创业200,4685.43
399020,创业小盘,1816.19
399030,碳科技30,4628.05
399050,创新引擎,3044.23
399060,碳科技60,3492.27
399088,深创100,5165.71
399100,新指数,12185.04
399101,中小综指,14798.41
399102,创业板综,4017.28
399103,乐富指数,9244.50
399106,深证综指,2581.52
399107,深证Ａ指,2701.07
399108,深证Ｂ指,1275.84
399231,农林指数,1402.73
399232,采矿指数,4110.46
399233,制造指数,3576.01
399234,水电指数,934.09
399235,建筑指数,1096.91
399236,批零指数,1591.03
399237,运输指数,1100.20
399239,IT指数,2117.45
399240,金融指数,1613.23
399241,地产指数,1210.20
399242,商务指数,1471.73
399243,科研指数,1498.17
399244,公共指数,615.87
399248,文化指数,913.82
399258,绿色低碳,4523.58
399259,创业低碳,4921.25
399260,先进制造,3866.99
399261,创业制造,6499.50
399262,数字经济,2952.63
399263,创业数字,3471.87
399264,创业软件,1485.51
399265,创新药械,1075.90
399266,创新能源,3640.29
399267,专精特新,2331.34
399268,深小巨人,2176.10
399269,创质量,8409.24
399274,深新基建,6201.99
399275,创医药,2727.43
399276,创科技,8253.92
399277,公共健康,2816.79
399278,长江100,2183.15
399279,云科技50,5149.76
399280,生物50,2111.62
399281,电子50,4693.32
399282,大数据50,5263.74
399283,机器人50,4505.61
399284,AI 50,3910.54
399285,物联网50,6476.26
399286,区块链50,4119.47
399289,碳中和债,121.19
399290,深转交债,193.76
399291,创精选88,4678.32
399292,民企发展,1526.11
399293,创业大盘,6650.88
399294,中小创Q,3687.27
399295,创价值,5534.30
399296,创成长,6384.67
399297,新浪100,6125.26
399298,深信中高,214.08
399299,深信中低,246.58
399300,沪深300,4717.75
399301,深信用债,217.94
399302,深公司债,220.57
399303,国证2000,10155.81
399306,深证ETF,1860.45
399307,深证转债,363.06
399310,国证A50,8196.97
399311,国证1000,5059.97
399312,国证300,5560.39
399313,巨潮100,5544.28
399314,巨潮大盘,5218.35
399315,巨潮中盘,4859.29
399316,巨潮小盘,6153.51
399317,国证Ａ指,6985.56
399318,国证Ｂ指,5169.96
399319,资源优势,3390.69
399320,国证服务,2149.99
399321,国证红利,7849.62
399322,国证治理,10679.19
399324,深证红利,9282.39
399326,成长40,6585.07
399328,深证治理,11149.37
399330,深证100,5928.32
399333,中小100R,10298.78
399335,深证央企,4385.53
399337,深证民营,6773.38
399339,深证科技,9117.35
399341,深证责任,1685.21
399344,深证300R,7668.88
399346,深证成长,4587.56
399348,深证价值,6586.78
