code,name,index
777020,IH2503多单持仓排行,43702
777021,IH2503空单持仓排行,49304
777000,IF2503多单持仓排行,90396
777001,IF2503空单持仓排行,101610
777010,IC2503多单持仓排行,70827
777011,IC2503空单持仓排行,69425
000001,上证指数,3419.56
000002,Ａ股指数,3583.72
000003,Ｂ股指数,271.08
000004,工业指数,2995.70
000005,商业指数,2669.84
000006,地产指数,4655.61
000007,公用指数,4569.75
000008,综合指数,3212.78
000009,上证380,5666.12
000010,上证180,8770.55
000011,基金指数,7186.62
000012,国债指数,222.53
000015,红利指数,3058.09
000016,上证50,2740.51
000017,新综指,2889.67
000018,180金融,5485.76
000019,治理指数,1132.96
000020,中型综指,1327.07
000021,180治理,998.87
000022,沪公司债,248.23
000025,180基建,1836.90
000026,180资源,3681.10
000027,180运输,764.22
000028,180成长,3336.69
000029,180价值,4150.11
000030,180R成长,2163.94
000031,180R价值,3031.75
000032,上证能源,1834.79
000033,上证材料,2396.13
000034,上证工业,2093.31
000035,上证可选,2892.66
000036,上证消费,12054.65
000037,上证医药,5856.33
000038,上证金融,5452.21
000039,上证信息,4154.96
000040,上证电信,3813.09
000041,上证公用,2433.60
000042,上证央企,1726.81
000043,超大盘,2157.22
000044,上证中盘,3985.21
000045,上证小盘,4841.70
000046,上证中小,4396.16
000047,上证全指,3460.62
000048,责任指数,1428.21
000049,上证民企,1711.33
000050,50等权,2137.20
000051,180等权,8264.86
000052,50基本,2809.67
000053,180基本,11560.36
000054,上证海外,1383.68
000055,上证地企,1397.47
000056,上证国企,1117.20
000057,全指成长,3404.46
000058,全指价值,4323.74
000059,全R成长,2847.23
000060,全R价值,4030.03
000061,沪企债30,175.91
000062,上证沪企,1892.93
000063,上证周期,3475.89
000064,非周期,3252.01
000065,上证龙头,3292.97
000066,上证商品,2608.89
000067,上证新兴,7214.04
000068,上证资源,2790.39
000069,消费80,4875.66
000070,能源等权,2639.56
000071,材料等权,3214.27
000072,工业等权,2747.36
000073,可选等权,3306.57
000074,消费等权,7555.11
000075,医药等权,6768.79
000076,金融等权,5242.57
000077,信息等权,4830.99
000078,电信等权,3240.46
000079,公用等权,2318.72
000090,上证流通,1249.54
000091,沪财中小,12053.52
000092,资源50,3435.89
000093,180分层,11319.61
000094,上证上游,3041.41
000095,上证中游,3088.68
000096,上证下游,4371.30
000097,高端装备,9020.15
000098,上证F200,5068.07
000099,上证F300,8030.70
000100,上证F500,5681.40
000101,5年信用,246.22
000102,沪投资品,5715.58
000103,沪消费品,8050.16
000104,380能源,1353.85
000105,380材料,4009.70
000106,380工业,4929.68
000107,380可选,5547.32
000108,380消费,12492.08
000109,380医药,9987.02
000110,380金融,3676.05
000111,380信息,8590.79
000112,380电信,4778.72
000113,380公用,2618.93
000114,持续产业,1162.66
000115,380等权,7536.79
000116,信用100,196.19
000117,380成长,3727.14
000118,380价值,8879.62
000119,380R成长,3758.55
000120,380R价值,8375.79
000121,医药主题,8102.70
000122,农业主题,1460.65
000123,180动态,5854.10
000125,180稳定,11268.08
000126,消费50,8603.06
000128,380基本,8002.50
000129,180波动,14426.20
000130,380波动,12179.02
000131,上证高新,2931.28
000132,上证100,5363.24
000133,上证150,5225.07
000134,上证银行,986.35
000135,180高贝,5360.61
000136,180低贝,11260.28
000137,380高贝,4864.82
000138,380低贝,7223.63
000139,上证转债,382.94
000141,380动态,3343.18
000142,380稳定,8625.53
000145,优势资源,5378.61
000146,优势制造,6598.37
000147,优势消费,6909.69
000148,消费领先,8897.24
000149,180红利,3828.85
000150,380红利,11767.06
000151,上国红利,1522.70
000152,上央红利,2709.61
000153,上民红利,3061.71
000155,市值百强,2926.18
000158,上证环保,1156.91
000159,沪股通,3185.69
000160,沪新丝路,1807.95
000161,沪中国造,1540.82
000162,沪互联+,3327.48
000170,50AH优选,5479.17
000300,沪深300,4006.56
000510,中证A500,4755.15
000680,科创综指,1261.62
000681,科创价格,1224.16
000682,科创信息,1505.89
000683,科创生物,960.39
000685,科创芯片,1826.51
000687,科创高装,1123.46
000688,科创50,1088.11
000689,科创材料,886.57
000690,科创成长,1143.89
000691,科创ESG,1204.26
000692,科创新能,937.97
000693,科创机械,1199.72
000695,科长三角,820.33
000697,科大湾区,1122.75
000698,科创100,1095.95
000699,科创200,965.30
000802,500沪市,6405.98
000814,细分医药,7748.95
000819,有色金属,5390.54
000823,800有色,6155.53
000827,中证环保,1451.17
000847,腾讯济安,3012.46
000849,300非银,9905.65
000851,百发100,15803.27
000852,中证1000,6571.17
000853,CSSW丝路,1370.88
000854,500原料,4140.47
000856,500工业,5773.11
000857,500医药,9958.59
000858,500信息,8072.86
000860,结构调整,1159.37
000863,CS精准医,2408.64
000865,上海国企,1358.85
000867,港中小企,2258.86
000869,HK银行,3656.83
000888,上证收益,3822.56
000891,新兴综指,1507.67
000901,小康指数,5854.04
000903,中证A100,3841.43
000905,中证500,6099.98
000906,中证800,4353.99
000913,300医药,8025.17
000914,300金融,6288.48
000928,中证能源,2658.65
000932,中证消费,16742.93
000933,中证医药,7907.49
000934,中证金融,5881.25
000935,中证信息,5057.37
000974,800金融,6561.84
000982,500等权,7568.94
000986,全指能源,2166.49
000987,全指材料,3380.43
000989,全指可选,5509.71
000991,全指医药,8495.04
000992,全指金融,5605.41
000993,全指信息,6697.14
399001,深证成指,10978.30
399002,深成指R,14479.79
399003,成份Ｂ指,8298.45
399004,深证100R,6650.12
399005,中小100,6815.11
399006,创业板指,2226.72
399007,深证300,4580.00
399008,中小300,1388.73
399009,深证200,4095.85
399010,深证700,7719.17
399011,深证1000,5408.12
399012,创业300,3367.70
399013,深市精选,4847.31
399015,中小创新,2627.03
399016,深证创新,4640.74
399017,SME创新,4026.27
399018,创业创新,4720.20
399019,创业200,4078.69
399020,创业小盘,1593.56
399030,碳科技30,3228.42
399050,创新引擎,2731.71
399060,碳科技60,2766.53
399088,深创100,3857.30
399100,新指数,9922.28
399101,中小综指,12022.22
399102,创业板综,3065.80
399103,乐富指数,7585.08
399106,深证综指,2109.37
399107,深证Ａ指,2206.60
399108,深证Ｂ指,1230.00
399231,农林指数,1186.41
399232,采矿指数,2690.39
399233,制造指数,2715.67
399234,水电指数,840.25
399235,建筑指数,985.73
399236,批零指数,1394.47
399237,运输指数,1128.66
399238,餐饮指数,1434.92
399239,IT指数,2121.83
399240,金融指数,1475.38
399241,地产指数,1231.60
399242,商务指数,1278.12
399243,科研指数,1424.90
399244,公共指数,545.09
399248,文化指数,970.17
399249,综企指数,2563.45
399258,绿色低碳,3359.07
399259,创业低碳,3550.99
399260,先进制造,2846.83
399261,创业制造,3472.28
399262,数字经济,1981.04
399263,创业数字,2119.17
399264,创新技术,1570.34
399265,创新药械,984.87
399266,创新能源,2469.97
399269,创质量,4558.07
399274,深新基建,4138.40
399275,创医药,2629.98
399276,创科技,5202.74
399277,公共健康,2748.64
399278,长江100,1655.43
399279,云科技50,3372.47
399280,生物50,2072.59
399281,电子50,3591.71
399282,大数据50,5399.96
399283,机器人50,3915.31
399284,AI 50,3777.10
399285,物联网50,4311.53
399286,区块链50,3922.24
399289,碳中和债,118.29
399290,深转交债,169.34
399291,创精选88,4015.07
399292,民企发展,1166.22
399293,创业大盘,4193.07
399294,中小创Q,2831.04
399295,创价值,4758.04
399296,创成长,4553.09
399297,新浪100,5349.20
399298,深信中高,209.39
399299,深信中低,240.40
399300,沪深300,4006.56
399301,深信用债,213.17
399302,深公司债,217.02
399303,国证2000,8462.70
399306,深证ETF,1518.62
399307,深证转债,315.00
399310,国证A50,6573.57
399311,国证1000,4223.99
399312,国证300,4561.94
399313,巨潮100,4805.36
399314,巨潮大盘,4430.16
