code,name,index
777000,IF2509多单持仓排行,102397
777001,IF2509空单持仓排行,109022
000001,上证指数,3813.56
000002,Ａ股指数,3997.47
000003,Ｂ股指数,260.09
000004,工业指数,3417.67
000005,商业指数,2922.68
000006,地产指数,4558.59
000007,公用指数,4620.19
000008,综合指数,3528.02
000009,上证380,6229.86
000010,上证180,9822.14
000011,基金指数,7084.50
000012,国债指数,225.18
000015,红利指数,3030.88
000016,上证50,2960.99
000017,新综指,3223.30
000018,180金融,5827.25
000019,治理指数,1203.12
000020,中型综指,1618.87
000021,180治理,1055.93
000022,沪公司债,252.07
000025,180基建,1831.31
000026,180资源,4607.62
000027,180运输,747.21
000028,180成长,3786.83
000029,180价值,4381.99
000030,180R成长,2491.80
000031,180R价值,3212.62
000032,上证能源,1823.95
000033,上证材料,3054.08
000034,上证工业,2159.65
000035,上证可选,3036.27
000036,上证消费,11578.50
000037,上证医药,7552.41
000038,上证金融,5810.55
000039,上证信息,5133.02
000040,上证电信,3892.13
000041,上证公用,2526.53
000042,上证央企,1795.43
000043,超大盘,2569.87
000044,上证中盘,4478.44
000045,上证小盘,5431.37
000046,上证中小,4938.68
000047,上证全指,3819.43
000048,责任指数,1453.08
000049,上证民企,1982.05
000050,50等权,2338.14
000051,180等权,9038.45
000052,50基本,2930.64
000053,180基本,12360.96
000054,上证海外,1528.14
000055,上证地企,1538.72
000056,上证国企,1190.76
000057,全指成长,3738.52
000058,全指价值,4576.89
000059,全R成长,3227.68
000060,全R价值,4337.44
000061,沪企债30,177.73
000062,上证沪企,2082.90
000063,上证周期,3827.92
000064,非周期,3582.01
000065,上证龙头,3540.27
000066,上证商品,3128.53
000067,上证新兴,8327.91
000068,上证资源,3445.76
000069,消费80,5375.55
000070,能源等权,2551.86
000071,材料等权,4143.32
000072,工业等权,2860.68
000073,可选等权,3406.73
000074,消费等权,7452.44
000075,医药等权,8066.14
000076,金融等权,5702.24
000077,信息等权,5494.54
000078,电信等权,3271.84
000079,公用等权,2471.71
000090,上证流通,1390.86
000091,沪财中小,13920.89
000092,资源50,4167.88
000093,180分层,12049.53
000094,上证上游,3791.19
000095,上证中游,3569.07
000096,上证下游,4572.96
000097,高端装备,10317.84
000098,上证F200,5395.30
000099,上证F300,8674.20
000100,上证F500,6061.05
000101,5年信用,249.77
000102,沪投资品,6611.35
000103,沪消费品,8996.25
000104,380能源,1250.54
000105,380材料,4820.77
000106,380工业,5260.46
000107,380可选,5579.10
000108,380消费,12630.23
000109,380医药,11407.74
000110,380金融,4250.28
000111,380信息,9333.94
000112,380电信,5634.11
000113,380公用,2834.92
000114,持续产业,1185.07
000115,380等权,8247.43
000116,信用100,198.33
000117,380成长,4112.82
000118,380价值,9568.51
000119,380R成长,4147.41
000120,380R价值,9146.88
000121,医药主题,9250.20
000122,农业主题,1569.81
000123,180动态,6798.54
000125,180稳定,11874.60
000126,消费50,8627.63
000128,380基本,8608.15
000129,180波动,15195.98
000130,380波动,13098.70
000131,上证高新,4080.24
000132,上证100,5771.14
000133,上证150,6251.98
000134,上证银行,1056.98
000135,180高贝,6055.54
000136,180低贝,12861.11
000137,380高贝,5595.08
000138,380低贝,7828.48
000139,上证转债,411.41
000141,380动态,3727.70
000142,380稳定,9330.35
000145,优势资源,6876.77
000146,优势制造,7084.86
000147,优势消费,7547.54
000148,消费领先,10046.47
000149,180红利,4021.65
000150,380红利,11522.97
000151,上国红利,1523.99
000152,上央红利,2867.87
000153,上民红利,3051.96
000155,市值百强,3218.56
000158,上证环保,1243.08
000159,沪股通,3533.19
000160,沪新丝路,1953.57
000161,沪中国造,1647.14
000162,沪互联+,3636.32
000170,50AH优选,6018.22
000300,沪深300,4459.83
000510,中证A500,5323.49
000680,科创综指,1567.40
000681,科创价格,1514.03
000682,科创信息,1835.13
000683,科创生物,1319.53
000685,科创芯片,2357.87
000687,科创高装,1217.70
000688,科创50,1306.48
000689,科创材料,1054.13
000690,科创成长,1677.60
000691,科创ESG,1352.88
000692,科创新能,1074.34
000693,科创机械,1312.42
000695,科长三角,969.19
000697,科大湾区,1276.86
000698,科创100,1368.73
000699,科创200,1245.13
000802,500沪市,7106.60
000814,细分医药,9815.22
000819,有色金属,7228.09
000823,800有色,8404.29
000827,中证环保,1617.52
000847,腾讯济安,3398.59
000849,300非银,10759.70
000851,百发100,18548.79
000852,中证1000,7206.88
000853,CSSW丝路,1544.19
000854,500原料,4996.17
000856,500工业,6430.79
000857,500医药,11674.39
000858,500信息,9348.57
000860,结构调整,1188.74
000863,CS精准医,3156.84
000865,上海国企,1474.14
000867,港中小企,2843.21
000869,HK银行,3982.07
000888,上证收益,4340.18
000891,新兴综指,1763.60
000901,小康指数,6223.51
000903,中证A100,4256.05
000905,中证500,6868.46
000906,中证800,4861.33
000913,300医药,9771.88
000914,300金融,6688.08
000928,中证能源,2702.39
000932,中证消费,16678.34
000933,中证医药,9460.33
000934,中证金融,6270.28
000935,中证信息,5927.99
000974,800金融,7020.12
000982,500等权,8369.30
000986,全指能源,2164.21
000987,全指材料,4101.30
000989,全指可选,5508.82
000991,全指医药,10195.61
000992,全指金融,5990.92
000993,全指信息,7859.64
399001,深证成指,12472.00
399002,深成指R,16695.66
399003,成份Ｂ指,8707.70
399004,深证100R,7785.43
399005,中小100,7535.84
399006,创业板指,2899.37
399007,深证300,5273.28
399008,中小300,1525.99
399009,深证200,4727.72
399010,深证700,8300.78
399011,深证1000,6092.89
399012,创业300,4156.23
399013,深市精选,5181.17
399015,中小创新,2854.20
