code,name,index
777000,IF2603多单持仓排行,128361
777001,IF2603空单持仓排行,150158
778000,中信证券多单持仓,17495
778001,中信证券空单持仓,22360
000001,上证指数,4113.65
000002,Ａ股指数,4313.44
000003,Ｂ股指数,260.24
000004,工业指数,3830.24
000005,商业指数,2858.36
000006,地产指数,4352.15
000007,公用指数,4911.76
000008,综合指数,3596.11
000009,上证380,7187.52
000010,上证180,10366.69
000011,基金指数,7192.46
000012,国债指数,224.97
000015,红利指数,3069.92
000016,上证50,3070.65
000017,新综指,3477.25
000018,180金融,5739.46
000019,治理指数,1263.87
000020,中型综指,1824.77
000021,180治理,1098.46
000022,沪公司债,253.99
000025,180基建,1784.44
000026,180资源,5993.97
000027,180运输,777.38
000028,180成长,4143.09
000029,180价值,4355.02
000030,180R成长,2713.25
000031,180R价值,3224.64
000032,上证能源,1990.79
000033,上证材料,4082.68
000034,上证工业,2350.40
000035,上证可选,3078.62
000036,上证消费,10897.80
000037,上证医药,6566.01
000038,上证金融,5727.55
000039,上证信息,6050.43
000040,上证电信,4126.95
000041,上证公用,2616.73
000042,上证央企,1806.22
000043,超大盘,2638.92
000044,上证中盘,4737.80
000045,上证小盘,6257.16
000046,上证中小,5444.47
000047,上证全指,4099.86
000048,责任指数,1487.63
000049,上证民企,2156.55
000050,50等权,2467.68
000051,180等权,9631.17
000052,50基本,2977.54
000053,180基本,12599.84
000054,上证海外,1619.95
000055,上证地企,1624.43
000056,上证国企,1278.76
000057,全指成长,4071.63
000058,全指价值,4736.53
000059,全R成长,3552.92
000060,全R价值,4543.60
000061,沪企债30,177.87
000062,上证沪企,2177.31
000063,上证周期,4038.78
000064,非周期,3730.95
000065,上证龙头,3766.65
000066,上证商品,3948.85
000067,上证新兴,9550.16
000068,上证资源,4423.65
000069,消费80,4998.74
000070,能源等权,2747.60
000071,材料等权,5557.74
000072,工业等权,3175.71
000073,可选等权,3647.50
000074,消费等权,7271.08
000075,医药等权,7129.49
000076,金融等权,5643.36
000077,信息等权,6762.88
000078,电信等权,3717.46
000079,公用等权,2651.79
000090,上证流通,1520.63
000091,沪财中小,15813.15
000092,资源50,5379.78
000093,180分层,12440.99
000094,上证上游,4979.77
000095,上证中游,4229.68
000096,上证下游,4274.65
000097,高端装备,12570.46
000098,上证F200,5603.07
000099,上证F300,9727.04
000100,上证F500,6378.19
000101,5年信用,251.95
000102,沪投资品,8355.32
000103,沪消费品,8221.79
000104,380能源,1348.56
000105,380材料,6073.41
000106,380工业,6780.94
000107,380可选,5878.45
000108,380消费,13008.99
000109,380医药,10218.02
000110,380金融,4287.42
000111,380信息,11227.48
000112,380电信,6638.72
000113,380公用,3231.92
000114,持续产业,1300.95
000115,380等权,9388.65
000116,信用100,198.86
000117,380成长,4710.81
000118,380价值,10736.67
000119,380R成长,4810.55
000120,380R价值,10482.81
000121,医药主题,8237.63
000122,农业主题,1710.30
000123,180动态,7535.79
000125,180稳定,11708.86
000126,消费50,8384.87
000128,380基本,9654.66
000129,180波动,15251.88
000130,380波动,13818.61
000131,上证高新,4029.63
000132,上证100,6506.46
000133,上证150,7513.80
000134,上证银行,986.93
000135,180高贝,6755.86
000136,180低贝,12706.24
000137,380高贝,6631.19
000138,380低贝,8456.03
000139,上证转债,451.02
000141,380动态,4322.39
000142,380稳定,10604.21
000145,优势资源,9103.30
000146,优势制造,8670.93
000147,优势消费,6779.36
000148,消费领先,9632.92
000149,180红利,3943.26
000150,380红利,12198.35
000151,上国红利,1535.29
000152,上央红利,2835.24
000153,上民红利,3308.04
000155,市值百强,3363.44
000158,上证环保,1392.27
000159,沪股通,3854.96
000160,沪新丝路,2325.85
000161,沪中国造,1933.82
000162,沪互联+,3828.86
000170,50AH优选,6383.99
000300,沪深300,4718.88
000510,中证A500,5878.74
000680,科创综指,1820.48
000681,科创价格,1757.22
000682,科创信息,2259.79
000683,科创生物,1129.48
000685,科创芯片,2986.15
000687,科创高装,1457.76
000688,科创50,1482.99
000689,科创材料,1377.51
000690,科创成长,2016.21
000691,科创ESG,1609.08
000692,科创新能,1276.22
000693,科创机械,1581.70
000695,科长三角,1129.56
000697,科大湾区,1508.80
000698,科创100,1638.40
000699,科创200,1512.48
000802,500沪市,8317.16
000814,细分医药,8608.84
000819,有色金属,10595.49
000823,800有色,12312.98
000827,中证环保,1925.94
000847,腾讯济安,3746.76
000849,300非银,11101.79
000851,百发100,22312.26
000852,中证1000,8182.75
000853,CSSW丝路,1677.78
000854,500原料,6671.04
000856,500工业,8317.68
000857,500医药,10741.37
000858,500信息,12064.18
000860,结构调整,1282.45
000863,CS精准医,2884.47
000865,上海国企,1577.57
000867,港中小企,2840.41
000869,HK银行,4401.27
000888,上证收益,4715.19
000891,新兴综指,2006.71
000901,小康指数,6536.39
000903,中证A100,4618.40
000905,中证500,8247.80
000906,中证800,5325.81
000913,300医药,8501.86
000914,300金融,6532.47
000928,中证能源,3021.36
000932,中证消费,15098.35
000933,中证医药,8414.24
000934,中证金融,6129.27
000935,中证信息,6987.24
000974,800金融,6868.26
000982,500等权,9869.48
000986,全指能源,2405.15
000987,全指材料,5567.00
000989,全指可选,5737.45
000991,全指医药,9099.45
000992,全指金融,5869.51
000993,全指信息,9262.04
399001,深证成指,14155.63
399002,深成指R,19005.73
399003,成份Ｂ指,8239.85
399004,深证100R,8376.56
399005,中小100,8727.52
399006,创业板指,3277.98
399007,深证300,5920.25
399008,中小300,1757.69
399009,深证200,5800.21
399010,深证700,9543.62
399011,深证1000,6891.68
399012,创业300,4680.08
399013,深市精选,5842.21
399015,中小创新,3178.69
399016,深证创新,6265.35
399017,SME创新,5277.73
399018,创业创新,6494.24
399019,创业200,4909.83
399020,创业小盘,1936.55
399030,碳科技30,4650.33
399050,创新引擎,3113.68
399060,碳科技60,3545.50
399088,深创100,5216.80
399100,新指数,12594.58
399101,中小综指,15415.84
399102,创业板综,4108.81
399103,乐富指数,9403.32
399106,深证综指,2677.79
399107,深证Ａ指,2801.93
399108,深证Ｂ指,1256.74
399231,农林指数,1341.07
399232,采矿指数,4766.88
399233,制造指数,3673.75
399234,水电指数,1010.34
399235,建筑指数,1121.20
399236,批零指数,1642.39
399237,运输指数,1121.74
399239,IT指数,2281.24
399240,金融指数,1606.57
399241,地产指数,1263.23
399242,商务指数,1699.22
399243,科研指数,1588.84
399244,公共指数,659.57
399248,文化指数,977.32
399258,绿色低碳,4565.18
399259,创业低碳,4994.74
399260,先进制造,3820.98
399261,创业制造,6417.42
399262,数字经济,2969.56
399263,创业数字,3562.41
399264,创业软件,1604.82
399265,创新药械,1081.69
399266,创新能源,3682.18
399267,专精特新,2475.66
399268,深小巨人,2306.80
399269,创质量,8428.73
399274,深新基建,6255.09
399275,创医药,2763.23
399276,创科技,8390.29
399277,公共健康,2873.71
399278,长江100,2228.92
399279,云科技50,5330.79
399280,生物50,2129.08
399281,电子50,4750.77
399282,大数据50,5624.88
399283,机器人50,4622.49
399284,AI 50,4123.74
399285,物联网50,6664.11
399286,区块链50,4402.23
399289,碳中和债,121.34
399290,深转交债,199.62
399291,创精选88,4946.72
399292,民企发展,1591.24
399293,创业大盘,6442.85
399294,中小创Q,3713.97
399295,创价值,5664.56
399296,创成长,6057.73
399297,新浪100,6501.54
399298,深信中高,214.33
399299,深信中低,246.84
399300,沪深300,4718.88
399301,深信用债,218.19
399302,深公司债,220.79
399303,国证2000,10757.62
399306,深证ETF,1889.11
399307,深证转债,377.43
399310,国证A50,8110.52
399311,国证1000,5173.72
399312,国证300,5622.18
399313,巨潮100,5418.95
399314,巨潮大盘,5183.68
399315,巨潮中盘,5120.60
399316,巨潮小盘,6604.91
399317,国证Ａ指,7222.00
399318,国证Ｂ指,5208.70
399319,资源优势,3631.27
399320,国证服务,2180.68
399321,国证红利,7665.87
399322,国证治理,10479.44
399324,深证红利,9599.24
399326,成长40,6584.17
399328,深证治理,11061.88
399330,深证100,5890.80
399333,中小100R,10652.02
399335,深证央企,4590.73
399337,深证民营,6737.77
399339,深证科技,9236.41
399341,深证责任,1705.25
399344,深证300R,7815.92
399346,深证成长,4579.91
399348,深证价值,6811.90
399350,皖江30,3191.93
399351,创新示范,10811.76
399352,深企综指,11157.24
399353,国证物流,2190.55
399354,分析师指数,8528.06
399355,长三角,3795.50
399356,珠三角,10242.74
399357,环渤海,3667.53
399358,国证环保,5470.19
399359,国证基建,2637.27
399360,新硬件,8337.05
399361,在线消费,4335.00
399362,民企100,8729.18
399363,国证算力,9665.78
399364,消费100,11097.28
399365,国证粮食,14041.74
399366,能源金属,2984.06
399367,1000地产,2681.21
399368,国证军工,9188.78
399369,国证责任,1559.88
399370,国证成长,5312.24
399371,国证价值,7339.76
399372,大盘成长,5351.97
399373,大盘价值,8447.64
399374,中盘成长,5008.88
399375,中盘价值,6392.27
399376,小盘成长,7055.53
399377,小盘价值,8168.17
399378,ESG 300,2992.35
399379,国证基金,9566.28
399380,国证ETF,1896.14
399381,1000能源,3136.16
399382,1000材料,4228.74
399383,1000工业,3133.44
399384,1000可选,4365.12
399385,1000消费,9259.46
399386,1000医药,5901.53
399387,1000金融,5516.87
399388,1000信息,7004.58
399389,国证通信,8340.04
399390,1000公用,2701.40
399391,投资时钟,3384.38
399392,国证新兴,3141.09
399393,国证地产,3313.33
399394,国证医药,8795.13
399395,国证有色,11006.92
399396,国证食品,17529.85
399397,国证文化,2605.41
399398,绩效指数,11113.89
399399,中经GDP,8433.36
399400,大中盘,4320.39
399401,中小盘,5226.97
399402,周期100,3893.84
399403,防御100,8787.99
399405,大盘高贝,3326.95
399406,中盘低波,14181.27
399407,中盘高贝,3402.66
399408,小盘低波,15977.68
399409,小盘高贝,7334.65
399410,苏州率先,3103.60
399411,红利100,3555.36
399412,国证新能,3029.41
399413,国证转债,192.22
399415,I100,7789.98
399416,I300,5315.59
399417,新能源车,3967.16
399418,数据要素,4479.75
399419,国证高铁,2267.47
399420,国证保证,1583.14
399422,中关村A,3858.02
399423,中关村50,3309.29
399428,国证定增,4647.63
399429,新丝路,1893.27
399431,国证银行,7614.33
399432,智能汽车,7019.26
399433,国证交运,1746.05
399434,数字传媒,2714.45
399435,国证农牧,3969.14
399436,绿色煤炭,3979.80
399437,证券龙头,6768.45
399438,绿色电力,2109.66
399439,国证油气,2017.39
399440,国证钢铁,1511.69
399441,生物医药,2247.00
399481,企债指数,127.67
399550,央视50,8383.06
399551,央视创新,11336.16
399552,央视成长,8418.26
399553,央视回报,7929.00
399554,央视治理,7922.76
399555,央视责任,5413.30
399556,央视生态,2934.50
399557,央视文化,2202.73
399602,中小成长,1367.50
399604,中小价值,2131.31
399606,创业板R,3634.30
399608,科技100,4365.59
399610,TMT50,9948.08
399611,中创100R,3322.43
399612,中创100,2812.97
399613,深证能源,3587.52
399614,深证材料,4141.46
399615,深证工业,4380.31
399616,深证可选,7170.47
399617,深证消费,9109.37
399618,深证医药,8325.72
399619,深证金融,7192.05
399620,深证信息,6043.77
399621,深证电信,12693.68
399622,深证公用,1821.31
399623,中小基础,9595.75
399624,中创400,2802.54
399625,中创500,2559.30
399626,中创成长,2149.91
399627,中创价值,2592.40
399628,700成长,2591.32
399629,700价值,3054.57
399630,1000成长,1855.90
399631,1000价值,2342.52
399632,深100EW,5418.49
399633,深300EW,6678.26
399634,中小等权,4629.23
399635,创业板EW,2392.57
399636,深证装备,8327.88
399637,深证地产,1859.26
399638,深证环保,7422.25
399639,深证大宗,2460.73
399640,创业基础,3082.29
399641,深证新兴,2945.08
399642,中小新兴,2512.73
399643,创业新兴,4036.52
399644,深证时钟,3667.29
399645,100低波,9686.18
399646,深消费50,8281.61
399647,深医药50,8175.02
399648,深证GDP,12626.76
399649,中小红利,3460.31
399650,中小治理,2741.34
399651,中小责任,1791.85
399652,中创高新,4185.37
399653,深证龙头,3007.45
399654,深证文化,3366.37
399655,深证绩效,11272.47
399656,100绩效,6653.61
399657,300绩效,7702.51
399658,中小绩效,5200.44
399659,深成指EW,5075.55
399660,中创EW,2917.73
399661,深证低波,6211.78
399662,深证高贝,2606.48
399663,中小低波,2044.30
399664,中小高贝,1599.68
399665,中创低波,2499.28
399666,中创高贝,2276.91
399667,创业成长,5647.52
399668,创业板V,5206.79
399669,深证农业,8709.46
399670,深周期50,4381.98
399671,深防御50,10027.06
399672,深红利50,4265.56
399673,创业板50,3419.62
399674,深A医药,2029.34
399675,深互联网,3815.60
399676,深医药EW,4036.53
399677,深互联EW,6196.60
399678,深次新股,654.59
399679,深证200R,7018.52
399680,深成能源,843.71
399681,深成材料,1449.54
399682,深成工业,1963.94
399683,深成可选,2054.84
399684,深成消费,1771.70
399685,深成医药,1688.89
399686,深成金融,2161.82
399687,深成信息,4113.23
399688,深成电信,6525.64
399689,深成公用,899.76
399692,创业低波,4178.47
399693,安防产业,5517.74
399694,创业高贝,4661.98
399695,深证节能,3091.38
399696,深证创投,4636.60
399697,中关村60,4191.14
399698,优势成长,56040.13
399699,金融科技,4614.76
399701,深证F60,8139.89
399702,深证F120,7868.79
399703,深证F200,7852.26
399704,深证上游,7593.45
399705,深证中游,4484.31
399706,深证下游,5952.24
399707,CSSW证券,6520.99
399750,深主板50,9225.72
399802,500深市,7764.01
399803,工业4.0,5907.40
399804,中证体育,2179.97
399805,互联金融,3941.72
399806,环境治理,1463.76
399807,高铁产业,1269.33
399808,中证新能,2949.96
399809,保险主题,2727.95
399810,CSSW传媒,3533.99
399811,CSSW电子,6175.79
399812,养老产业,6562.87
399813,中证国安,8727.63
399814,大农业,1239.33
399850,深证50,9149.23
399852,中证1000,8182.75
399901,小康指数,6536.39
399903,中证100,4618.40
399905,中证 500,8247.80
399913,300 医药,8501.86
399914,300 金融,6532.47
399928,中证能源,3021.36
399932,中证消费,15098.35
399933,中证医药,8414.24
399934,中证金融,6129.27
399935,中证信息,6987.24
399959,军工指数,2023.74
399965,800地产,2738.56
399966,800非银,6620.81
399967,中证军工,15121.92
399970,移动互联,4903.88
399971,中证传媒,1759.19
399972,300深市,5732.16
399973,中证国防,2059.18
399974,国企改革,1997.15
399975,证券公司,849.75
399976,CS新能车,4573.81
399982,500等权,9869.48
399983,地产等权,2094.79
399986,中证银行,7241.94
399987,中证酒,5035.53
399989,中证医疗,7302.23
399990,煤炭等权,3020.11
399991,一带一路,3177.81
399992,CSWD并购,2292.07
399993,CSWD生科,2758.42
399994,信息安全,1944.59
399995,基建工程,4170.91
399996,智能家居,4872.82
399997,中证白酒,8793.50
399998,中证煤炭,2073.04
470006,CNTTRHKD,3573.46
470007,CNTTRUSD,3568.01
480001,湾创100R,1892.13
970006,CNTHKD,3223.11
970007,CNTUSD,3218.21
970070,CNTAI50,6258.54
980001,湾创100,1539.64
980015,疫苗生科,6539.41
980016,医疗健康,6286.72
980017,国证芯片,14429.71
980018,卫星通信,6033.40
980022,CNIROBOT,2782.10
980023,南山50,2534.20
980027,CNINEB,3448.67
980028,龙头家电,12945.17
980030,消费电子,7799.69
980032,新能电池,16079.18
980035,化肥农药,2533.05
980068,蓝色100,3953.36
980076,通用航空,4016.01
980092,CNIFCF,5675.79
991001,上证指数(旧),4553.63
